"time"	"distance"	"value"
36	0	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0.013
36	18	0
36	19	0
36	20	0
36	21	0
36	22	0
36	23	0
36	24	0.093
36	25	0.195
36	26	0.04
36	27	0.062
36	28	0.043
36	29	0.079
36	30	0.264
36	31	0.105
36	32	0
36	33	0.083
36	34	0.235
36	35	0.176
36	36	0.164
36	37	0.237
36	38	0.087
36	39	0.104
36	40	0.375
36	41	0.329
36	42	0.212
36	43	0.186
36	44	0.133
36	45	0.295
36	46	0.393
36	47	0.309
36	48	0.487
36	49	0.469
36	50	0.455
36	51	0.381
37	24	0
37	25	0
37	27	0
37	29	0
37	30	0
37	35	0
37	36	0
37	37	0
37	38	0
37	39	0
37	41	0
37	42	0
37	44	0
37	47	0
37	48	0
37	49	0
37	50	0
37	51	0
38	0	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0.214
38	25	0.333
38	26	0.167
38	27	0
38	28	0.143
38	29	0.333
38	30	0
38	31	0.111
38	32	0.5
38	33	0.667
38	34	0
38	35	0.154
38	36	0.263
38	37	0.12
38	38	0.043
38	39	0.04
38	40	0
38	41	0.033
38	42	0.05
38	43	0
38	44	0.033
38	45	0.065
38	46	0.062
38	47	0.032
38	48	0.065
38	49	0.05
38	50	0.134
38	51	0.04
39	0	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	0
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0.182
39	25	0.263
39	26	0.294
39	27	0.333
39	28	0.087
39	29	0.111
39	30	0.294
39	31	0.273
39	32	0.25
39	33	0
39	34	0.333
39	35	0.182
39	36	0.3
39	37	0.226
39	38	0.125
39	39	0.095
39	40	0.2
39	41	0.333
39	42	0.25
39	43	0.267
39	44	0.421
39	45	0.581
39	46	0.424
39	47	0.444
39	48	0.458
39	49	0.458
39	50	0.473
39	51	0.289
40	0	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
40	18	0
40	19	0
40	20	0
40	21	0
40	22	0
40	23	0
40	24	0.444
40	25	0.429
40	26	0.286
40	27	0
40	28	0.143
40	29	0.167
40	30	0
40	31	0.125
40	34	0
40	35	0.1
40	36	0.222
40	37	0.091
40	38	0
40	39	0.111
40	40	0
40	41	0.2
40	42	0.2
40	43	0.143
40	44	0.25
40	45	0.25
40	46	0.571
40	47	0.444
40	48	0.692
40	49	0.5
40	50	0.64
40	51	0.643
41	0	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
41	18	0
41	19	0
41	20	0
41	21	0
41	22	0
41	23	0
41	24	0.147
41	25	0.115
41	26	0
41	27	0.143
41	28	0.133
41	29	0.167
41	30	0.067
41	31	0.13
41	32	0
41	33	0.273
41	34	0.222
41	35	0.111
41	36	0
41	37	0
41	38	0
41	39	0.067
41	40	0
41	41	0.095
41	42	0.077
41	43	0.062
41	44	0.25
41	45	0.261
41	46	0.136
41	47	0.24
41	48	0.206
41	49	0.256
41	50	0.468
41	51	0.257
42	0	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
42	18	0
42	19	0
42	20	0
42	21	0
42	22	0
42	23	0
42	24	0.033
42	25	0.19
42	26	0.087
42	27	0.083
42	28	0.038
42	29	0
42	30	0.04
42	31	0.075
42	32	1
42	33	0.25
42	34	0.143
42	35	0.122
42	36	0.156
42	37	0.125
42	38	0.235
42	39	0.125
42	40	0
42	41	0.129
42	42	0.188
42	43	0
42	44	0.083
42	45	0.179
42	46	0.207
42	47	0.143
42	48	0.246
42	49	0.284
42	50	0.368
42	51	0.232
43	0	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	0.296
43	25	0.071
43	26	0.111
43	27	0.25
43	28	0.056
43	29	0.056
43	30	0.077
43	31	0.16
43	32	0.5
43	33	0.333
43	34	0.083
43	35	0.143
43	36	0.24
43	37	0.226
43	38	0.062
43	39	0.238
43	40	0
43	41	0.375
43	42	0.267
43	43	0.375
43	44	0.118
43	45	0.217
43	46	0.308
43	47	0.2
43	48	0.452
43	49	0.491
43	50	0.55
43	51	0.543
44	0	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
44	18	0
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0.092
44	25	0.152
44	26	0.143
44	27	0
44	28	0.03
44	29	0.065
44	30	0.065
44	31	0.043
44	32	0.143
44	33	0.25
44	34	0.143
44	35	0.105
44	36	0.262
44	37	0.102
44	38	0.156
44	39	0.067
44	40	0.286
44	41	0.128
44	42	0.172
44	43	0.219
44	44	0.243
44	45	0.149
44	46	0.2
44	47	0.204
44	48	0.412
44	49	0.32
44	50	0.315
44	51	0.272
45	0	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0
45	24	0
45	25	0
45	26	0
45	27	0
45	28	0
45	29	0
45	30	0
45	31	0
45	34	0
45	35	0
45	36	0
45	37	0.167
45	38	0
45	39	0
45	41	0
45	42	0
45	43	0
45	44	0
45	45	0
45	46	0
45	47	0
45	48	0.25
45	49	0.111
45	50	0.143
45	51	0
46	0	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0.065
46	15	0
46	16	0
46	17	0.017
46	18	0.333
46	19	0
46	20	0
46	21	0
46	22	0.038
46	23	0.109
46	24	0.182
46	25	0.095
46	26	0.095
46	27	0.083
46	28	0
46	29	0
46	30	0
46	31	0.175
46	32	0
46	33	0.5
46	34	0.25
46	35	0.111
46	36	0.258
46	37	0.19
46	38	0.233
46	39	0.273
46	40	0
46	41	0.237
46	42	0.357
46	43	0.28
46	44	0.385
46	45	0.31
46	46	0.385
46	47	0.3
46	48	0.407
46	49	0.27
46	50	0.238
46	51	0.184
47	0	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0.023
47	13	0.033
47	14	0
47	15	0
47	16	0.036
47	17	0.021
47	18	0
47	19	0
47	20	0
47	21	0
47	22	0.029
47	23	0.111
47	24	0.136
47	25	0.25
47	26	0.214
47	27	0.083
47	28	0.1
47	29	0.056
47	30	0.083
47	31	0.172
47	32	0
47	33	0.286
47	34	0.091
47	35	0.212
47	36	0.161
47	37	0.209
47	38	0.115
47	39	0.148
47	40	0
47	41	0.273
47	42	0.316
47	43	0.263
47	44	0.333
47	45	0.345
47	46	0.364
47	47	0.344
47	48	0.379
47	49	0.366
47	50	0.441
47	51	0.4
48	0	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0
48	14	0
48	15	0
48	16	0
48	17	0
48	18	0
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0.075
48	24	0.17
48	25	0.128
48	26	0.111
48	27	0.111
48	28	0.042
48	29	0.125
48	30	0.087
48	31	0.143
48	32	0.333
48	33	0.545
48	34	0.5
48	35	0.308
48	36	0.308
48	37	0.25
48	38	0.242
48	39	0.2
48	40	0.125
48	41	0.133
48	42	0.19
48	43	0.167
48	44	0.241
48	45	0.214
48	46	0.172
48	47	0.205
48	48	0.357
48	49	0.535
48	50	0.338
48	51	0.385
49	0	0
49	1	0
49	2	0
49	3	0
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	0
49	11	0
49	12	0
49	13	0
49	14	0
49	15	0
49	16	0
49	17	0
49	18	0
49	19	0
49	20	0
49	21	0
49	22	0
49	23	0
49	24	0.079
49	25	0.056
49	26	0.077
49	27	0.071
49	28	0.154
49	29	0.118
49	30	0.235
49	31	0.2
49	32	0
49	33	0
49	34	0.125
49	35	0.214
49	36	0.3
49	37	0.333
49	38	0.231
49	39	0.2
49	40	0
49	41	0.13
49	42	0.267
49	43	0.25
49	44	0.353
49	45	0.304
49	46	0.368
49	47	0.136
49	48	0.391
49	49	0.348
49	50	0.422
49	51	0.282
50	0	0.011
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	0
50	15	0
50	16	0.038
50	17	0.149
50	18	0.154
50	19	0
50	20	0.143
50	21	0.071
50	22	0.111
50	23	0.18
50	24	0.255
50	25	0.5
50	26	0.308
50	27	0.238
50	28	0.091
50	29	0.214
50	30	0.296
50	31	0.415
50	32	0.5
50	33	0.375
50	34	0.125
50	35	0.395
50	36	0.509
50	37	0.447
50	38	0.424
50	39	0.467
50	40	0.25
50	41	0.459
50	42	0.5
50	43	0.5
50	44	0.455
50	45	0.485
50	46	0.531
50	47	0.4
50	48	0.636
50	49	0.622
50	50	0.551
50	51	0.491
51	0	0
51	1	0
51	2	0
51	3	0
51	4	0
51	5	0
51	6	0
51	7	0
51	8	0
51	9	0
51	10	0
51	11	0
51	12	0
51	13	0
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	0
51	20	0
51	21	0
51	22	0
51	23	0
51	24	0.105
51	25	0.2
51	26	0.111
51	27	0.2
51	28	0.167
51	29	0
51	30	0.25
51	31	0.133
51	32	0.5
51	33	0.4
51	34	0.111
51	35	0.091
51	36	0.267
51	37	0.143
51	38	0.083
51	39	0.364
51	40	0
51	41	0.167
51	42	0.333
51	43	0.2
51	44	0.143
51	45	0.333
51	46	0
51	47	0.091
51	48	0.214
51	49	0.25
51	50	0.154
51	51	0.176
52	0	0
52	1	0
52	2	0
52	3	0
52	4	0
52	5	0
52	6	0
52	7	0
52	8	0
52	9	0
52	10	0
52	11	0
52	12	0
52	13	0
52	14	0
52	15	0
52	16	0
52	17	0.019
52	18	0
52	19	0
52	20	0
52	21	0
52	22	0
52	23	0
52	24	0.053
52	25	0.227
52	26	0.273
52	27	0.062
52	28	0.059
52	29	0.19
52	30	0.105
52	31	0.182
52	32	0
52	33	0.286
52	34	0.111
52	35	0.156
52	36	0.27
52	37	0.195
52	38	0.143
52	39	0.062
52	40	0.5
52	41	0.448
52	42	0.143
52	43	0.4
52	44	0.25
52	45	0.259
52	46	0.333
52	47	0.269
52	48	0.273
52	49	0.191
52	50	0.156
52	51	0.15
53	0	0
53	1	0
53	2	0
53	3	0
53	4	0
53	5	0
53	6	0
53	7	0
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0.077
53	17	0
53	18	0
53	19	0
53	20	0
53	21	0
53	22	0
53	23	0.03
53	24	0.214
53	25	0.3
53	26	0.267
53	27	0.2
53	28	0.222
53	29	0.167
53	30	0.421
53	31	0.25
53	32	0
53	33	0.667
53	34	0.222
53	35	0.242
53	36	0.208
53	37	0.323
53	38	0.35
53	39	0.278
53	40	0.667
53	41	0.25
53	42	0.333
53	43	0.167
53	44	0.231
53	45	0.458
53	46	0.5
53	47	0.455
53	48	0.488
53	49	0.488
53	50	0.361
53	51	0.406
54	0	0
54	1	0
54	2	0
54	3	0
54	4	0
54	5	0
54	6	0
54	7	0
54	8	0
54	9	0
54	10	0
54	11	0
54	12	0
54	13	0
54	14	0
54	15	0
54	16	0.023
54	17	0.027
54	18	0.083
54	19	0.048
54	20	0
54	21	0
54	22	0.048
54	23	0.062
54	24	0.209
54	25	0.394
54	26	0.348
54	27	0.067
54	28	0.091
54	29	0.077
54	30	0.172
54	31	0.364
54	32	0
54	33	0.5
54	34	0.059
54	35	0.333
54	36	0.312
54	37	0.216
54	38	0.136
54	39	0.167
54	40	0.143
54	41	0.345
54	42	0.188
54	43	0.12
54	44	0.31
54	45	0.237
54	46	0.143
54	47	0.182
54	48	0.477
54	49	0.472
54	50	0.387
54	51	0.364
55	0	0
55	1	0
55	2	0
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
55	8	0
55	9	0
55	10	0
55	11	0
55	12	0
55	13	0
55	14	0
55	15	0
55	16	0
55	17	0.074
55	18	0.333
55	19	0
55	20	0
55	21	0.167
55	22	0.1
55	23	0.067
55	24	0.385
55	25	0.615
55	26	0.5
55	27	0.5
55	28	0.333
55	29	0.333
55	30	0.385
55	31	0.4
55	32	0
55	33	0.75
55	34	0.333
55	35	0.3
55	36	0.6
55	37	0.692
55	38	0.667
55	39	0.333
55	40	0.5
55	41	0.643
55	42	0.833
55	43	0.333
55	44	0.615
55	45	0.444
55	46	0.333
55	47	0.333
55	48	0.654
55	49	0.636
55	50	0.591
55	51	0.476
56	0	0
56	1	0
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
56	8	0
56	9	0
56	10	0
56	11	0
56	12	0
56	13	0
56	14	0
56	15	0
56	16	0
56	17	0.069
56	18	0.1
56	19	0.043
56	20	0
56	21	0.043
56	22	0.085
56	23	0.095
56	24	0.288
56	25	0.378
56	26	0.29
56	27	0.08
56	28	0.161
56	29	0.2
56	30	0.282
56	31	0.34
56	32	0
56	33	0
56	34	0
56	35	0.188
56	36	0.3
56	37	0.259
56	38	0.159
56	39	0.167
56	40	0
56	41	0.318
56	42	0.2
56	43	0.343
56	44	0.216
56	45	0.302
56	46	0.345
56	47	0.346
56	48	0.351
56	49	0.287
56	50	0.308
56	51	0.324
57	0	0
57	1	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0
57	7	0
57	8	0
57	9	0
57	10	0
57	11	0
57	12	0
57	13	0
57	14	0
57	15	0
57	16	0
57	17	0
57	19	0
57	20	0
57	21	0
57	22	0
57	23	0
57	24	0.125
57	25	0.2
57	26	0
57	27	0
57	28	0
57	29	0
57	30	0
57	31	0
57	34	0
57	35	0
57	36	0
57	37	0
57	38	0.143
57	39	0
57	40	0
57	41	0.143
57	42	0
57	43	0
57	44	0.25
57	45	0.429
57	46	0.846
57	47	0.4
57	48	0.333
57	49	0.5
57	50	0.188
57	51	0.143
58	0	0
58	1	0
58	2	0
58	3	0
58	4	0
58	5	0
58	6	0
58	7	0
58	8	0
58	9	0
58	10	0
58	11	0
58	12	0
58	13	0
58	14	0
58	15	0
58	16	0.059
58	17	0.057
58	18	0
58	19	0
58	20	0
58	21	0
58	22	0.056
58	23	0.2
58	24	0.333
58	25	0.133
58	26	0.25
58	27	0
58	28	0.111
58	29	0.091
58	30	0.25
58	31	0.304
58	32	0.5
58	33	0.545
58	34	0.667
58	35	0.111
58	36	0.235
58	37	0.333
58	38	0.286
58	39	0.176
58	40	0
58	41	0.25
58	42	0.111
58	43	0.176
58	44	0.231
58	45	0.077
58	46	0.421
58	47	0.385
58	48	0.364
58	49	0.407
58	50	0.342
58	51	0.483
59	0	0
59	1	0
59	2	0
59	3	0
59	4	0
59	5	0
59	6	0
59	7	0
59	8	0
59	9	0
59	10	0
59	11	0
59	12	0
59	13	0
59	14	0
59	15	0
59	16	0
59	17	0
59	18	0
59	19	0
59	20	0
59	21	0
59	22	0.014
59	23	0
59	24	0.109
59	25	0.214
59	26	0.156
59	27	0.05
59	28	0.111
59	29	0.143
59	30	0.2
59	31	0.18
59	32	0.5
59	33	0.5
59	34	0.25
59	35	0.161
59	36	0.216
59	37	0.143
59	38	0.29
59	39	0.103
59	40	0
59	41	0.316
59	42	0.207
59	43	0.24
59	44	0.143
59	45	0.206
59	46	0.3
59	47	0.293
59	48	0.44
59	49	0.395
59	50	0.39
59	51	0.29
60	0	0
60	1	0
60	2	0
60	3	0
60	4	0
60	5	0
60	6	0
60	7	0
60	8	0
60	9	0
60	10	0
60	11	0
60	12	0
60	13	0
60	14	0
60	15	0
60	16	0
60	17	0
60	19	0
60	20	0
60	21	0
60	22	0
60	23	0
60	24	0
60	25	0
60	26	0
60	27	0
60	28	0
60	29	0
60	30	0
60	31	0
60	33	0
60	34	0
60	35	0
60	36	0
60	37	0
60	38	0
60	39	0
60	40	0
60	41	0
60	42	0
60	43	0
60	44	0
60	45	0.643
60	46	0.412
60	47	0.143
60	48	0
60	49	0
60	50	0.077
60	51	0
61	0	0.009
61	1	0
61	2	0
61	3	0
61	4	0
61	5	0
61	6	0
61	7	0
61	8	0
61	9	0
61	10	0
61	11	0
61	12	0
61	13	0
61	14	0
61	15	0
61	16	0
61	17	0
61	18	0.143
61	19	0.05
61	20	0
61	21	0.062
61	22	0
61	23	0.059
61	24	0.405
61	25	0.312
61	26	0.4
61	27	0.231
61	28	0.2
61	29	0.25
61	30	0.229
61	31	0.239
61	32	0.333
61	33	0.4
61	34	0.375
61	35	0.244
61	36	0.286
61	37	0.191
61	38	0.237
61	39	0.161
61	40	0.25
61	41	0.103
61	42	0.259
61	43	0.19
61	44	0.207
61	45	0.12
61	46	0.188
61	47	0.31
61	48	0.361
61	49	0.543
61	50	0.419
61	51	0.373
62	0	0
62	1	0
62	2	0
62	3	0
62	4	0
62	5	0
62	6	0
62	7	0
62	8	0
62	9	0
62	10	0
62	11	0
62	12	0
62	13	0
62	14	0
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	0
62	22	0.1
62	23	0.222
62	24	0
62	25	0
62	26	0
62	27	0
62	28	0
62	29	0
62	30	0.167
62	31	0.1
62	33	0
62	34	0
62	35	0.167
62	36	0.091
62	37	0.111
62	38	0.125
62	39	0
62	40	0.25
62	41	0
62	42	0.111
62	43	0
62	44	0.2
62	45	0
62	46	0
62	47	0
62	48	0.188
62	49	0.286
62	50	0.143
62	51	0.25
63	0	0
63	1	0
63	2	0
63	3	0
63	4	0
63	5	0
63	6	0
63	7	0
63	8	0
63	9	0
63	10	0
63	11	0
63	12	0
63	13	0
63	14	0
63	15	0
63	16	0
63	17	0
63	18	0
63	19	0
63	20	0
63	21	0
63	22	0
63	23	0
63	24	0.3
63	25	0.207
63	26	0.381
63	27	0.231
63	28	0.32
63	29	0.261
63	30	0.412
63	31	0.327
63	32	0.25
63	33	0.4
63	34	0.375
63	35	0.27
63	36	0.303
63	37	0.243
63	38	0.238
63	39	0.095
63	40	0.143
63	41	0.188
63	42	0.562
63	43	0.316
63	44	0.286
63	45	0.39
63	46	0.267
63	47	0.345
63	48	0.433
63	49	0.463
63	50	0.344
63	51	0.41
64	0	0.045
64	1	0
64	2	0
64	3	0
64	4	0
64	5	0
64	6	0
64	7	0
64	8	0
64	9	0
64	10	0
64	11	0
64	12	0
64	13	0
64	14	0
64	15	0
64	16	0
64	17	0
64	18	0
64	19	0
64	20	0
64	21	0
64	22	0
64	23	0
64	24	0.133
64	25	0
64	26	0
64	27	0.083
64	28	0
64	29	0
64	30	0
64	31	0
64	35	0.083
64	36	0.1
64	37	0.167
64	38	0.1
64	39	0.1
64	40	0
64	41	0.154
64	42	0.143
64	43	0.111
64	44	0.167
64	45	0.267
64	46	0.444
64	47	0.429
64	48	0.261
64	49	0.455
64	50	0.391
64	51	0.2
65	0	0
65	1	0
65	2	0
65	3	0
65	4	0
65	5	0
65	6	0
65	7	0
65	8	0
65	9	0
65	10	0
65	11	0
65	12	0
65	13	0
65	14	0
65	15	0
65	16	0
65	17	0
65	18	0
65	19	0
65	20	0
65	21	0
65	22	0
65	23	0
65	24	0.571
65	25	0.5
65	26	0.8
65	27	0.167
65	28	0.2
65	29	0.333
65	30	0.25
65	31	0.75
65	32	0.5
65	33	0.667
65	34	0.5
65	35	0.636
65	36	0.4
65	37	0.143
65	38	0.25
65	39	0
65	40	0
65	41	0.143
65	42	0.2
65	43	0.25
65	44	0.286
65	45	0.2
65	46	0.4
65	47	0.125
65	48	0.6
65	49	0.636
65	50	0.571
65	51	0.571
66	0	0
66	1	0
66	2	0
66	3	0
66	4	0
66	5	0
66	6	0
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0
66	12	0
66	13	0
66	14	0
66	15	0
66	16	0
66	17	0
66	18	0
66	19	0
66	20	0
66	21	0
66	22	0
66	23	0
66	24	0.091
66	25	0.118
66	26	0.083
66	27	0
66	28	0.2
66	29	0.333
66	30	0.059
66	31	0.042
66	32	0.5
66	33	0.286
66	34	0.167
66	35	0.15
66	36	0.048
66	37	0.15
66	38	0.1
66	39	0.167
66	40	0
66	41	0.105
66	42	0.25
66	43	0.167
66	44	0.083
66	45	0.231
66	46	0.133
66	47	0.222
66	48	0.433
66	49	0.514
66	50	0.633
