"time"	"distance"	"value"
36	0	0.09
36	1	0.111
36	2	0.023
36	3	0.171
36	4	0
36	5	0.107
36	6	0.056
36	7	0
36	8	0
36	9	0
36	10	0.071
36	11	0.12
36	12	0.091
36	13	0.171
36	14	0.174
36	15	0.417
36	16	0.24
36	17	0.038
36	18	0.121
36	19	0
36	20	0.108
36	21	0.095
36	22	0.087
36	23	0.121
36	24	0.073
36	25	0.125
36	26	0.125
36	27	0.358
36	28	0.268
36	29	0.273
36	30	0.077
36	31	0.217
36	32	0.179
36	33	0.567
36	34	0.361
36	35	0.714
36	36	0.625
36	37	0.304
36	38	0.407
36	39	0.455
36	40	0.371
36	41	0.286
36	42	0.281
36	43	0.75
36	44	0.286
36	45	0.421
36	46	0.385
36	47	0.5
36	48	0.4
36	49	0.5
36	50	0.654
36	51	0.636
36	52	0.595
36	53	0.48
36	54	0.517
37	0	0.031
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0.167
37	18	0.071
37	19	0.143
37	20	0
37	21	0.077
37	22	0
37	23	0.083
37	24	0
37	25	0
37	26	0.056
37	27	0.042
37	28	0.154
37	29	0
37	30	0
37	31	0
37	32	0
37	33	0.1
37	34	0.077
37	35	0
37	36	0.25
37	37	0
37	38	0.118
37	39	0.5
37	40	0.167
37	41	0.214
37	42	0.286
37	43	0.333
37	44	0.2
37	45	0.222
37	46	0.5
37	47	0.286
37	48	0.5
37	49	0.357
37	50	0.444
37	51	0.318
37	52	0.364
37	53	0.312
37	54	0.333
38	0	0.2
38	1	0
38	2	0.071
38	3	0.2
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0.176
38	15	0.25
38	16	0.167
38	17	0.273
38	18	0
38	19	0.2
38	20	0.083
38	21	0.077
38	22	0
38	23	0
38	24	0.118
38	25	0.1
38	26	0.056
38	27	0.16
38	28	0.2
38	29	0.222
38	30	0
38	31	0
38	32	0
38	33	0.167
38	34	0.188
38	35	0.75
38	36	0.5
38	37	0
38	38	0.143
38	39	0
38	40	0
38	41	0
38	42	0
38	43	0
38	44	0
38	45	0.143
38	46	0.167
38	47	0.111
38	48	0
38	49	0
38	50	0.375
38	51	0.115
38	52	0.25
38	53	0.24
38	54	0
39	0	0.354
39	1	0.154
39	2	0.167
39	3	0.087
39	4	0.143
39	5	0
39	6	0.143
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0.071
39	14	0
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0.059
39	21	0.045
39	22	0
39	23	0.059
39	24	0.042
39	25	0.045
39	26	0.12
39	27	0.387
39	28	0.368
39	29	0.188
39	30	0.25
39	31	0.429
39	32	0.333
39	33	0.538
39	34	0.179
39	35	0
39	36	0.167
39	37	0.167
39	38	0.421
39	39	0.389
39	40	0.385
39	41	0.188
39	42	0.571
39	43	0.5
39	44	0.417
39	45	0.375
39	46	0.636
39	47	0.222
39	48	0.455
39	49	0.571
39	50	0.375
39	51	0.727
39	52	0.762
39	53	0.556
39	54	0.333
40	0	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0.2
40	14	0.143
40	15	0
40	16	0.333
40	17	0.2
40	18	0.25
40	19	0.167
40	20	0
40	21	0.111
40	22	0.2
40	23	0.143
40	24	0.143
40	25	0.4
40	26	0.273
40	27	0.294
40	28	0.444
40	29	0.2
40	30	0.5
40	31	0
40	32	0.429
40	33	0.25
40	34	0.286
40	37	0
40	38	0.286
40	39	0.1
40	40	0.3
40	41	0.25
40	42	0
40	43	0.25
40	44	0.25
40	45	0.125
40	46	0
40	47	0.2
40	48	0.286
40	49	0.143
40	50	0.143
40	51	0.267
40	52	0.214
40	53	0.214
40	54	0.25
41	0	0.162
41	1	0.147
41	2	0.109
41	3	0.258
41	4	0
41	5	0.04
41	6	0.13
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0.062
41	13	0.129
41	14	0.043
41	15	0
41	16	0
41	17	0
41	18	0
41	19	0.037
41	20	0.051
41	21	0.048
41	22	0.053
41	23	0
41	24	0.056
41	25	0.02
41	26	0.065
41	27	0.127
41	28	0.122
41	29	0.036
41	30	0.062
41	31	0.056
41	32	0.038
41	33	0.129
41	34	0.214
41	35	0
41	36	0
41	37	0.25
41	38	0.196
41	39	0.196
41	40	0.231
41	41	0.143
41	42	0.036
41	43	0.091
41	44	0.179
41	45	0.167
41	46	0.211
41	47	0.25
41	48	0.194
41	49	0.132
41	50	0.208
41	51	0.342
41	52	0.403
41	53	0.315
41	54	0.4
42	0	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0.2
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0.25
42	14	0
42	15	0
42	16	0
42	17	0
42	18	0
42	19	0
42	20	0.286
42	21	0.2
42	22	0
42	23	0.5
42	24	0.167
42	25	0.6
42	26	0.333
42	27	0.7
42	28	0.4
42	29	0
42	30	0.5
42	31	0.333
42	32	0.5
42	33	0.333
42	34	0.125
42	35	0
42	36	0.667
42	37	0
42	38	0.2
42	39	0.75
42	40	0
42	41	0
42	42	0.333
42	44	0.4
42	45	0
42	46	0
42	47	0.333
42	48	0
42	49	0
42	50	1
42	51	0.875
42	52	0.857
42	53	0.75
42	54	0.333
43	0	0
43	1	0.133
43	2	0.048
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0.038
43	21	0.032
43	22	0
43	23	0
43	24	0
43	25	0
43	26	0.022
43	27	0.1
43	28	0.233
43	29	0.067
43	30	0.25
43	31	0
43	32	0.167
43	33	0.143
43	34	0.147
43	35	0
43	36	0
43	37	0.143
43	38	0.129
43	39	0.161
43	40	0.105
43	41	0
43	42	0
43	43	0
43	44	0.037
43	45	0
43	46	0.071
43	47	0.095
43	48	0.05
43	49	0.08
43	50	0.238
43	51	0.2
43	52	0.205
43	53	0.216
43	54	0.226
44	0	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	9	0
44	10	0
44	11	0
44	13	0
44	14	0
44	15	0
44	17	0
44	18	0
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0
44	25	0
44	26	0
44	27	0
44	28	0.25
44	29	0
44	30	0
44	31	0
44	32	0.2
44	33	0
44	34	0
44	35	0.5
44	36	0.667
44	37	0.2
44	38	0.2
44	39	0.385
44	40	0
44	41	0
44	42	0.375
44	43	0
44	44	0.167
44	45	0.5
44	46	0.2
44	47	0.333
44	48	0.2
44	49	0.2
44	50	1
44	51	0.4
44	52	0.5
44	53	0.286
44	54	0.286
45	0	0.071
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0
45	18	0
45	19	0.2
45	20	0.045
45	21	0.042
45	22	0
45	23	0.059
45	24	0.077
45	25	0.053
45	26	0.111
45	27	0.143
45	28	0.118
45	29	0.167
45	30	0.167
45	31	0.111
45	32	0.167
45	33	0.214
45	34	0.087
45	35	0.6
45	36	0.4
45	37	0.25
45	38	0.19
45	39	0.292
45	40	0.091
45	41	0.167
45	42	0.083
45	43	0.5
45	44	0.077
45	45	0.111
45	46	0.154
45	47	0.133
45	48	0.067
45	49	0.05
45	50	0.16
45	51	0.2
45	52	0.219
45	53	0.161
45	54	0.25
46	0	0.166
46	1	0.023
46	2	0
46	3	0.036
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	0
46	18	0
46	19	0
46	20	0
46	21	0
46	22	0
46	23	0.032
46	24	0.047
46	25	0.059
46	26	0.036
46	27	0.172
46	28	0.286
46	29	0.136
46	30	0.062
46	31	0.1
46	32	0.25
46	33	0.25
46	34	0.262
46	35	0.75
46	36	0.667
46	37	0.067
46	38	0.109
46	39	0.222
46	40	0.125
46	41	0.038
46	42	0.091
46	43	0.2
46	44	0.179
46	45	0.05
46	46	0.111
46	47	0.12
46	48	0.333
46	49	0.286
46	50	0.28
46	51	0.39
46	52	0.382
46	53	0.263
46	54	0.296
47	0	0.094
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
47	18	0
47	19	0
47	20	0.057
47	21	0.122
47	22	0
47	23	0
47	24	0
47	25	0
47	26	0.031
47	27	0.156
47	28	0.15
47	29	0.154
47	30	0
47	31	0.091
47	32	0.154
47	33	0.25
47	34	0.24
47	35	0.2
47	36	0.444
47	37	0.133
47	38	0.182
47	39	0.281
47	40	0.308
47	41	0.2
47	42	0
47	43	0.25
47	44	0.2
47	45	0.25
47	46	0.154
47	47	0.188
47	48	0.214
47	49	0.217
47	50	0.417
47	51	0.326
47	52	0.444
47	53	0.567
47	54	0.438
48	0	0
48	1	0.083
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0
48	14	0
48	16	0
48	17	0
48	18	0
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0
48	24	0
48	25	0
48	26	0
48	27	0
48	28	0
48	29	0
48	30	0
48	31	0
48	32	0
48	33	0
48	34	0
48	37	0
48	38	0
48	39	0.107
48	40	0
48	41	0.056
48	42	0.1
48	43	0.2
48	44	0.077
48	45	0
48	46	0.1
48	47	0
48	48	0.143
48	49	0.167
48	50	0.25
48	51	0.4
48	52	0.387
48	53	0.333
48	54	0.333
49	0	0.114
49	1	0.059
49	2	0
49	3	0
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	0
49	11	0
49	12	0
49	13	0
49	14	0
49	15	0
49	16	0
49	17	0
49	18	0
49	19	0
49	20	0.067
49	21	0.038
49	22	0.077
49	23	0.05
49	24	0.029
49	25	0.038
49	26	0.03
49	27	0.098
49	28	0.095
49	29	0.077
49	30	0.125
49	31	0.077
49	32	0
49	33	0.125
49	34	0.065
49	35	0.667
49	36	0.5
49	37	0.214
49	38	0.077
49	39	0.143
49	40	0
49	41	0
49	42	0.143
49	43	0
49	44	0.062
49	45	0.062
49	46	0.111
49	47	0.059
49	48	0
49	49	0.087
49	50	0.118
49	51	0.179
49	52	0.262
49	53	0.111
49	54	0.19
50	0	0.083
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	0
50	15	0
50	16	0
50	17	0
50	18	0
50	19	0
50	20	0
50	21	0
50	22	0
50	23	0
50	24	0
50	25	0
50	26	0.062
50	27	0.238
50	28	0.091
50	29	0.143
50	30	0
50	31	0
50	32	0
50	33	0
50	34	0.118
50	35	0
50	36	0
50	37	0
50	38	0.077
50	39	0.095
50	40	0
50	41	0
50	42	0
50	43	0
50	44	0
50	45	0
50	46	0
50	47	0
50	48	0.083
50	49	0.083
50	50	0.111
50	51	0.143
50	52	0.136
50	53	0.087
50	54	0.5
51	0	0.171
51	1	0
51	2	0
51	3	0.105
51	4	0
51	5	0
51	6	0
51	7	0
51	8	0
51	9	0
51	10	0
51	11	0
51	12	0
51	13	0
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	0
51	20	0
51	21	0
51	22	0
51	23	0
51	24	0
51	25	0
51	26	0
51	27	0
51	28	0
51	29	0
51	30	0
51	31	0
51	32	0
51	33	0
51	34	0.059
51	35	0
51	36	0
51	37	0
51	38	0
51	39	0.105
51	40	0
51	41	0.1
51	42	0.167
51	43	0
51	44	0.091
51	45	0
51	46	0.2
51	47	0.1
51	48	0
51	49	0.1
51	50	0
51	51	0.12
51	52	0.105
51	53	0.059
51	54	0.167
52	0	0.156
52	1	0.172
52	2	0.069
52	3	0.267
52	4	0.062
52	5	0
52	6	0
52	7	0
52	8	0
52	9	0
52	10	0
52	11	0
52	12	0
52	13	0
52	14	0
52	15	0
52	16	0
52	17	0
52	18	0
52	19	0
52	20	0
52	21	0
52	22	0
52	23	0
52	24	0
52	25	0
52	26	0.071
52	27	0.244
52	28	0.411
52	29	0
52	30	0.167
52	31	0
52	32	0.2
52	33	0.133
52	34	0.125
52	35	0.5
52	36	0.5
52	37	0.182
52	38	0.161
52	39	0.323
52	40	0.111
52	41	0.375
52	42	0.118
52	43	0.5
52	44	0.158
52	45	0.211
52	46	0.2
52	47	0.05
52	48	0.346
52	49	0.208
52	50	0.417
52	51	0.481
52	52	0.393
52	53	0.462
52	54	0.407
53	0	0.077
53	1	0.167
53	2	0
53	3	0
53	4	0
53	5	0
53	6	0
53	7	0
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0
53	17	0
53	18	0
53	19	0
53	20	0
53	21	0
53	22	0
53	23	0
53	24	0
53	25	0
53	26	0.167
53	27	0.238
53	28	0.111
53	29	0.143
53	30	0.5
53	31	0
53	32	0
53	33	0.2
53	34	0.143
53	37	0
53	38	0.2
53	39	0.083
53	40	0.111
53	41	0.2
53	42	0
