"time"	"distance"	"value"
36	0	0.091
36	1	0.088
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0.016
36	7	0.015
36	8	0.016
36	9	0.042
36	10	0.016
36	11	0.017
36	12	0.018
36	13	0
36	14	0
36	15	0.021
36	16	0.015
36	17	0.042
36	18	0.085
36	19	0.186
36	20	0.253
36	21	0.189
36	22	0.167
36	23	0.132
36	24	0.056
36	25	0.138
36	26	0.091
36	27	0.119
36	28	0.148
36	29	0.157
36	30	0.13
36	31	0.346
36	32	0.379
36	33	0.288
36	34	0.371
36	35	0.275
36	36	0.236
36	37	0.675
37	0	0.02
37	1	0
37	2	0.059
37	3	0
37	4	0.056
37	5	0
37	6	0.037
37	7	0.257
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0.083
37	17	0.123
37	18	0.138
37	19	0.257
37	20	0.31
37	21	0.286
37	22	0.273
37	23	0.25
37	24	0.429
37	25	0.25
37	26	0.091
37	27	0.357
37	28	0.385
37	29	0.227
37	30	0.348
37	31	0.238
37	32	0.364
37	33	0.377
37	34	0.492
37	35	0.318
37	36	0.5
37	37	0.6
38	0	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0.4
38	7	0.625
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0.167
38	19	0.143
38	20	0.333
38	21	0.167
38	22	0.4
38	23	0.25
38	24	0
38	25	0
38	26	0
38	27	0
38	28	0
38	29	0
38	30	0
38	31	0.167
38	32	0.1
38	33	0.205
38	34	0.192
38	35	0.593
38	36	0
39	0	0.007
39	1	0.136
39	2	0.237
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0.018
39	8	0
39	9	0
39	10	0
39	11	0.02
39	12	0.034
39	13	0.024
39	14	0
39	15	0
39	16	0.029
39	17	0.091
39	18	0.207
39	19	0.233
39	20	0.286
39	21	0.188
39	22	0.197
39	23	0.077
39	24	0.051
39	25	0.08
39	26	0.095
39	27	0.111
39	28	0.148
39	29	0.171
39	30	0.138
39	31	0.182
39	32	0.23
39	33	0.327
39	34	0.449
39	35	0.438
39	36	0.403
39	37	0.485
40	0	0.032
40	1	0
40	2	0.167
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0.083
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
40	18	0.083
40	19	0.13
40	20	0
40	21	0
40	22	0.167
40	23	0
40	24	0
40	25	0
40	26	0
40	27	0
40	28	0
40	29	0
40	30	0
40	31	0
40	32	0
40	33	0.25
40	34	0.15
40	35	0.438
40	36	0.2
40	37	0.333
41	0	0.09
41	1	0.167
41	2	0.031
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0.024
41	8	0.206
41	9	0.159
41	10	0
41	11	0
41	12	0
41	13	0.053
41	14	0.111
41	15	0
41	16	0.034
41	17	0.032
41	18	0.133
41	19	0.242
41	20	0.282
41	21	0.342
41	22	0.436
41	23	0.214
41	24	0.182
41	25	0.312
41	26	0.071
41	27	0.179
41	28	0.15
41	29	0.3
41	30	0.2
41	31	0.32
41	32	0.333
41	33	0.294
41	34	0.477
41	35	0.571
41	36	0.6
41	37	0.459
42	0	0.161
