"time"	"distance"	"value"
36	0	0.332
36	1	0.088
36	2	0.083
36	3	0.044
36	4	0.017
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0.03
36	14	0.039
36	15	0.022
36	16	0
36	17	0
36	18	0.035
36	19	0.071
36	20	0.046
36	21	0
36	22	0.077
36	23	0.043
36	24	0.062
36	25	0.063
36	26	0.091
36	27	0.131
36	28	0.049
36	29	0.408
36	30	0.293
36	31	0.238
36	32	0.298
36	33	0.277
36	34	0.266
36	35	0.214
36	36	0.118
36	37	0.305
36	38	0.25
36	39	0.261
36	40	0.341
36	41	0.364
36	42	0.396
36	43	0.466
36	44	0.577
36	45	0.606
36	46	0.598
36	47	0.574
37	17	0
38	0	0.208
38	1	0.111
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0.1
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
38	25	0
38	26	0
38	27	0.067
38	28	0
38	29	0.143
38	30	0.125
38	31	0
38	32	0
38	33	0.214
38	34	0
38	35	0
38	37	0
38	38	0
38	39	0
38	40	0
38	41	0.182
38	42	0.25
38	43	0.333
38	44	0.133
38	45	0.19
38	46	0.455
38	47	0.4
39	0	0.152
39	1	0.167
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	0.333
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0.231
39	23	0.062
39	24	0.167
39	25	0.111
39	26	0.1
39	27	0.091
39	28	0.167
39	29	0.462
39	30	0.444
39	31	0.2
39	32	0.545
39	33	0.4
39	34	0.385
39	35	0.5
39	36	0.333
39	37	0.286
39	38	0.25
39	39	0.5
39	40	0.571
39	41	0.556
39	42	0.556
39	43	0.545
39	44	0.467
39	45	0.706
39	46	0.737
39	47	0.722
40	0	0.043
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0.061
40	18	0.091
40	19	0
40	20	0.258
40	21	0.182
40	22	0.212
40	23	0.3
40	24	0.15
40	25	0.2
40	26	0.167
40	27	0.2
40	28	0.296
40	29	0.421
40	30	0.333
40	31	0.423
40	32	0.368
40	33	0.263
40	34	0.211
40	35	0.214
40	36	0
40	37	0.4
40	38	0.25
40	39	0.308
40	40	0.444
40	41	0.421
40	42	0.312
40	43	0.222
40	44	0.333
40	45	0.385
40	46	0.318
40	47	0.389
41	0	0.083
41	1	0
41	2	0
41	3	0.026
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0.125
41	15	0
41	16	0
41	17	0.021
41	18	0
41	19	0
41	20	0.059
41	21	0.062
41	22	0.118
41	23	0.057
41	24	0.069
41	25	0.08
41	26	0.16
41	27	0.086
41	28	0.098
41	29	0.31
41	30	0.294
41	31	0.189
41	32	0.233
41	33	0.156
41	34	0.154
41	35	0.133
41	36	0
41	37	0.136
41	38	0.556
41	39	0.167
41	40	0.176
41	41	0.333
41	42	0.294
41	43	0.421
41	44	0.379
41	45	0.354
41	46	0.407
41	47	0.407
42	0	0.08
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0.067
42	14	0
42	15	0
42	16	0
42	17	0
42	18	0.031
42	19	0.056
42	20	0.2
42	21	0.278
42	22	0.327
42	23	0.265
42	24	0.281
42	25	0.333
42	26	0.211
42	27	0.267
42	28	0.116
42	29	0.486
42	30	0.2
42	31	0.167
42	32	0.273
42	33	0.233
42	34	0.167
42	35	0.062
42	36	0.75
42	37	0.31
42	38	0
42	39	0.111
42	40	0.111
42	41	0.083
42	42	0.059
42	43	0.158
42	44	0.675
42	45	0.612
42	46	0.568
42	47	0.345
43	0	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0.083
43	15	0
43	16	0
43	17	0.04
43	18	0.043
43	19	0
43	20	0.143
43	21	0.444
43	22	0.324
43	23	0.278
43	24	0.267
43	25	0.364
43	26	0.25
43	27	0.5
43	28	0.318
43	29	0.6
43	30	0.538
43	31	0.316
43	32	0.375
43	33	0.524
43	34	0.308
43	35	0.364
43	36	1
43	37	0.538
43	38	0.5
43	39	0.667
43	40	0.333
43	41	0.389
43	42	0.273
43	43	0.4
43	44	0.286
43	45	0.389
43	46	0.583
43	47	0.286
44	0	0.123
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
44	18	0
44	19	0.118
44	20	0.095
44	21	0
44	22	0.103
44	23	0.056
44	24	0.071
44	25	0
44	26	0.118
44	27	0.2
44	28	0.273
44	29	0.417
44	30	0.6
44	31	0.423
44	32	0.462
44	33	0.45
44	34	0.333
44	35	0.273
44	36	0
44	37	0.333
44	38	0.222
44	39	0.571
44	40	0.2
44	41	0.3
44	42	0.462
44	43	0.455
44	44	0.75
44	45	0.45
44	46	0.7
44	47	0.444
45	0	0.294
45	1	0
45	2	0
45	3	0.2
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0.091
45	18	0.091
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0
45	24	0
45	25	0
45	26	0
45	27	0.067
45	28	0.056
45	29	0.333
45	30	0.3
45	31	0.333
45	32	0.364
45	33	0.267
45	34	0.222
45	35	0
45	36	0
45	37	0.222
45	38	0.667
45	39	0.222
45	40	0.333
45	41	0.4
45	42	0.429
45	43	0.182
45	44	0.455
45	45	0.379
45	46	0.261
45	47	0.263
46	0	0.297
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	0
46	18	0
46	19	0
46	20	0
46	21	0
46	22	0
46	23	0
46	24	0
46	25	0
46	26	0
46	27	0
46	28	0
46	29	0.2
46	30	0.214
46	31	0.176
46	32	0.214
46	33	0.211
46	34	0.143
46	35	0.2
46	36	0
46	37	0.143
46	38	0.333
46	39	0.429
46	40	0.375
46	41	0.4
46	42	0.375
46	43	0.417
46	44	0.522
46	45	0.656
46	46	0.615
46	47	0.552
47	0	0.152
47	1	0
47	2	0
47	3	0.1
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	0.167
47	15	0
47	16	0
47	17	0
47	18	0.057
47	19	0.05
47	20	0.071
47	21	0.25
47	22	0.304
47	23	0.455
47	24	0.393
47	25	0.533
47	26	0.326
47	27	0.188
47	28	0.133
47	29	0.348
47	30	0.368
47	31	0.324
47	32	0.421
47	33	0.321
47	34	0.409
47	35	0.333
47	36	0
47	37	0.294
47	38	0.182
47	39	0.286
47	40	0.286
47	41	0.375
47	42	0.353
47	43	0.538
47	44	0.576
47	45	0.606
47	46	0.559
47	47	0.542
48	0	0.077
48	1	0
48	2	0.333
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0.071
48	14	0
48	15	0
48	16	0
48	17	0
48	18	0.051
48	19	0
48	20	0
48	21	0.1
48	22	0.119
48	23	0.318
48	24	0.087
48	25	0.1
48	26	0
48	27	0.364
48	28	0.345
48	29	0.682
48	30	0.583
48	31	0.538
48	32	0.696
48	33	0.37
48	34	0.364
48	35	0.182
48	36	0.25
48	37	0.412
48	38	0.333
48	39	0.308
48	40	0.308
48	41	0.316
48	42	0.385
48	43	0.286
48	44	0.519
48	45	0.677
48	46	0.688
48	47	0.594
49	0	0.036
49	1	0
49	2	0
49	3	0.071
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	0
49	11	0
49	12	0
49	13	0
49	14	0.071
49	15	0
49	16	0
49	17	0
49	18	0.036
49	19	0.077
49	20	0.043
49	21	0
49	22	0.188
49	23	0.045
49	24	0
49	25	0.062
49	26	0.294
49	27	0.091
49	28	0.105
49	29	0.353
49	30	0.467
49	31	0.5
49	32	0.474
49	33	0.333
49	34	0.125
49	35	0.375
49	36	0
49	37	0.167
49	38	0.25
49	39	0.25
49	40	0.125
49	41	0.235
49	42	0.375
49	43	0.231
49	44	0.571
49	45	0.529
49	46	0.625
49	47	0.458
50	0	0.061
50	1	0
50	2	0.167
50	3	0.083
50	4	0
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0.095
50	14	0.105
50	15	0
50	16	0
50	17	0
50	18	0.036
50	19	0
50	20	0
50	21	0
50	22	0
50	23	0.049
50	24	0.054
50	25	0.097
50	26	0.071
