"time"	"distance"	"value"
36	0	0.265
36	1	0
36	2	0
36	3	0
36	4	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0
36	18	0
36	19	0
36	20	0
36	21	0
36	22	0
36	23	0
36	24	0
36	25	0
36	26	0
36	27	0
36	28	0
36	29	0
36	30	0
36	31	0
36	32	0
36	33	0
36	34	0
36	35	0
36	36	0.033
36	37	0.033
36	38	0.07
36	39	0.03
38	0	0.13
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
38	25	0
38	26	0
38	27	0
38	28	0
38	29	0
38	30	0
38	31	0
38	32	0
38	33	0
38	34	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
39	0	0.021
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	11	0
39	12	0
39	13	0
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0
39	25	0
39	26	0
39	27	0
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0
39	33	0
39	34	0
39	35	0
39	36	0
39	37	0.061
39	38	0
39	39	0
41	0	0.185
41	1	0
41	2	0
41	3	0
41	4	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	18	0
41	19	0
41	20	0
41	21	0
41	22	0
41	23	0
41	24	0
41	25	0
41	26	0
41	27	0
41	28	0
41	29	0
41	30	0
41	31	0
41	32	0
41	33	0
41	34	0
41	35	0
41	36	0
41	37	0
41	38	0
41	39	0
44	0	0.025
44	1	0
44	2	0
44	3	0
44	4	0
44	6	0
44	7	0
44	8	0
44	9	0
44	11	0
44	12	0
44	13	0
44	15	0
44	16	0
44	18	0
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0
44	25	0
44	26	0
44	27	0
44	28	0
44	29	0
44	30	0
44	31	0
44	32	0
44	33	0
44	34	0
44	35	0
44	36	0.053
44	37	0.03
44	38	0
44	39	0
45	0	0.12
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	15	0
45	16	0
45	17	0
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0
45	24	0
45	25	0
45	26	0
45	27	0
45	28	0
45	29	0
45	30	0
45	31	0
45	32	0
45	33	0
45	34	0
45	35	0
45	36	0
45	37	0
45	38	0
45	39	0
46	0	0.147
46	1	0.111
46	2	0
46	3	0.25
46	4	0.077
46	6	0
46	7	0
46	8	0.2
46	9	0
46	10	0
46	11	0.2
46	12	0
46	13	0.071
46	14	0
46	15	0
46	16	0.062
46	17	0
46	18	0
46	19	0
46	20	0
46	21	0.071
46	22	0.083
46	23	0
46	24	0.143
46	25	0
46	26	0
46	27	0.143
46	28	0
46	29	0
46	30	0
46	31	0
46	32	0.333
46	33	0.067
46	34	0
46	35	0
46	36	0.045
46	37	0.105
46	38	0.051
46	39	0.067
47	0	0.041
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	15	0
47	16	0
47	18	0
47	20	0
47	21	0
47	22	0
47	23	0
47	24	0
47	25	0
47	26	0
47	27	0
47	28	0
47	29	0
47	30	0
47	31	0
47	32	0
47	33	0
47	34	0
47	35	0
47	36	0
47	37	0
47	38	0
47	39	0.091
47	40	0
48	16	0
48	20	0
48	21	0
48	23	0
48	26	0
48	28	0
48	30	0
48	33	0
48	34	0
48	36	0
48	37	0
48	38	0
48	39	0
49	0	0.217
49	1	0.25
49	2	0
49	3	0.5
49	4	0.2
49	7	0
49	8	0
49	9	0.2
49	10	0
49	11	0.5
49	12	0
49	13	0.143
49	15	0.333
49	16	0
49	18	0
49	20	0
49	21	0.143
49	22	0.25
49	23	0
49	24	0.5
49	25	0
49	26	0
49	27	0.333
49	28	0
49	29	0
49	30	0
49	31	0.333
49	32	0
49	33	0.2
49	34	0
49	36	0.111
49	37	0.267
49	38	0.2
49	39	0
50	0	0.03
50	1	0
50	2	0
50	3	0
50	4	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0.04
50	14	0
50	15	0
50	16	0
50	17	0
50	18	0.25
50	19	0
50	20	0
50	21	0.05
50	22	0
50	23	0
50	24	0
50	25	0
50	26	0
50	27	0
50	28	0
50	29	0
50	30	0
50	31	0
50	32	0
50	33	0
50	34	0
50	35	0
50	36	0.042
50	37	0.07
50	38	0
50	39	0
50	40	0
52	0	0.087
52	1	0
52	2	0
52	3	0
52	4	0
52	6	0
52	7	0
52	8	0
52	9	0
52	10	0
52	11	0
52	12	0
52	13	0
52	14	0.5
52	15	0
52	16	0
52	18	0.25
52	19	0
52	20	0
52	21	0
52	22	0.1
52	23	0
52	24	0
52	25	0
52	26	0
52	27	0
52	28	0
52	29	0
52	30	0
52	31	0
52	32	0
52	33	0
52	34	0
52	35	0
52	36	0
52	37	0.059
52	38	0.081
52	39	0
53	0	0.06
53	1	0
53	2	0
53	3	0
53	4	0
53	6	0
53	7	0.091
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0
53	17	0
53	18	0
53	19	0
53	20	0
53	21	0
53	22	0
53	23	0
53	24	0
53	25	0
53	26	0
53	27	0
53	28	0
53	29	0
53	30	0
53	31	0
53	32	0
53	33	0
53	34	0
53	35	0
53	36	0
53	37	0.014
53	38	0.045
53	39	0.032
56	0	0.148
56	1	0
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
56	8	0
56	9	0
56	10	0
56	11	0
56	12	0
56	13	0
56	14	0
56	15	0
56	16	0
56	17	0
56	18	0
56	19	0
56	20	0
56	21	0
56	22	0
56	23	0
56	24	0
56	25	0
56	26	0
56	27	0
56	28	0
56	29	0
56	30	0
56	31	0
56	32	0
56	33	0
56	34	0
56	35	0
56	36	0.04
56	37	0.07
56	38	0.048
56	39	0.045
58	0	0.054
58	1	0
58	2	0
58	3	0
58	4	0
58	6	0
58	7	0
58	8	0
58	9	0
58	10	0
58	11	0
58	12	0
58	13	0
58	15	0
58	16	0
58	18	0
58	19	0
58	20	0
58	21	0
58	22	0
58	23	0
58	24	0
58	25	0
58	26	0
58	27	0
58	28	0
58	29	0
58	30	0
58	31	0
58	32	0
58	33	0
58	34	0
58	35	0
58	36	0
58	37	0
58	38	0
58	39	0
59	0	0.038
59	1	0
59	2	0
59	3	0
59	4	0
59	6	0
59	7	0
59	8	0
59	9	0
59	10	0
59	11	0
59	13	0
59	14	0
59	15	0
59	16	0
59	17	0
59	18	0
59	20	0
59	21	0
59	22	0
59	23	0
59	24	0
59	25	0
59	26	0
59	27	0
59	28	0
59	29	0
59	30	0
59	31	0
59	32	0
59	33	0
59	34	0
59	35	0
59	36	0
59	37	0
59	38	0
59	39	0
60	2	0
60	4	0
60	8	0
60	10	0
60	11	0
60	13	0
60	15	0
60	16	0
60	18	0
60	20	0
60	21	0
60	22	0
60	25	0
60	26	0
60	27	0
60	28	0
60	29	0
60	31	0
60	33	0
60	34	0
60	36	0
60	37	0
60	38	0
60	39	0
61	0	0.074
61	1	0
61	2	0
61	3	0
61	4	0
61	6	0
61	7	0
61	9	0
61	10	0
61	11	0
61	12	0
61	13	0
61	15	0
61	16	0
61	18	0
61	20	0
61	21	0
61	22	0
61	23	0
61	24	0
61	26	0
61	27	0
61	28	0
61	29	0
61	30	0
61	31	0
61	32	0
61	33	0
61	34	0
61	35	0
61	36	0
61	37	0
61	38	0
61	39	0
62	0	0.024
62	1	0
62	2	0
62	3	0
62	4	0
62	5	0
62	6	0
62	7	0
62	8	0
62	9	0
62	10	0
62	11	0
62	12	0
62	13	0
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	0
62	22	0
62	23	0
62	24	0
62	25	0
62	26	0
62	27	0
62	28	0
62	29	0
62	30	0
62	31	0
62	32	0
62	33	0
62	35	0
62	36	0
62	37	0
62	38	0
62	39	0
63	0	0.131
63	1	0
63	2	0
63	3	0
63	4	0
63	6	0
63	7	0
63	8	0
63	9	0
63	10	0
63	11	0
63	13	0
63	15	0
63	16	0
63	17	0
63	18	0
63	20	0
63	21	0
63	22	0
63	23	0
63	24	0
63	25	0
63	26	0
63	27	0
63	28	0
63	29	0
63	30	0
63	31	0
63	32	0
63	33	0
63	34	0
63	35	0
63	36	0
63	37	0
63	38	0
63	39	0
64	0	0.036
64	1	0
64	2	0
64	3	0
64	4	0
64	5	0
64	6	0
64	7	0
64	8	0
64	9	0
64	10	0
64	11	0
64	12	0
64	13	0
64	15	0
64	16	0
64	17	0
64	18	0
64	19	0
64	20	0
64	21	0
64	22	0
64	23	0
64	24	0
64	25	0
64	26	0
64	27	0
64	28	0
64	29	0
64	30	0
64	31	0
64	32	0
64	33	0
64	34	0
64	35	0
64	36	0
64	37	0
64	38	0
64	39	0
64	40	0
66	0	0
66	1	0
66	2	0
66	3	0
66	4	0
66	6	0
66	7	0
66	8	0
66	9	0
66	11	0
66	12	0
66	13	0
66	15	0
66	16	0
66	18	0
66	19	0
66	20	0
66	21	0
66	22	0
66	23	0
66	24	0
66	25	0
66	26	0
66	27	0
66	28	0
66	29	0
66	30	0
66	31	0
66	33	0
66	34	0
66	35	0
66	36	0
66	37	0
66	38	0
66	39	0
67	0	0.083
67	1	0
67	2	0
67	3	0
67	4	0
67	5	0
67	6	0
67	7	0
67	8	0
67	9	0
67	10	0
67	11	0
67	12	0
67	13	0
67	15	0
67	16	0
67	17	0
67	18	0
67	19	0
67	20	0
67	21	0
67	22	0
67	23	0
67	24	0
67	25	0
67	26	0
67	27	0
67	28	0
67	29	0
67	30	0
67	31	0
67	32	0
67	33	0
67	34	0
67	35	0
67	36	0
67	37	0
67	38	0
67	39	0
68	0	0
68	2	0
68	3	0
68	4	0
68	7	0
68	8	0
68	9	0
68	11	0
68	12	0
68	13	0
68	15	0
68	16	0
68	18	0
68	21	0
68	22	0
68	23	0
68	24	0
68	25	0
68	26	0
68	27	0
68	28	0
68	30	0
68	31	0
68	33	0
68	34	0
68	35	0
68	36	0
68	37	0
68	38	0
68	39	0
69	0	0
69	1	0
69	2	0
69	3	0
69	4	0
69	6	0
69	7	0
69	8	0
69	9	0
69	10	0
69	11	0
69	12	0
69	13	0
69	15	0
69	16	0
69	17	0
69	18	0
69	19	0
69	20	0
69	21	0
69	22	0
69	23	0
69	24	0
69	25	0
69	26	0
69	27	0
69	28	0
69	29	0
69	30	0
69	31	0
69	32	0
69	33	0
69	34	0
69	35	0
69	36	0
69	37	0
69	38	0
69	39	0
71	0	0
71	1	0
71	2	0
71	3	0
71	4	0
71	5	0
71	6	0
71	7	0
71	8	0
71	9	0
71	10	0
71	11	0
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0
71	17	0
71	18	0
71	19	0
71	20	0
71	21	0
71	22	0
71	23	0
71	24	0
71	25	0
71	26	0
71	27	0
71	28	0
71	29	0
71	30	0
71	31	0
71	32	0
71	33	0
71	34	0
71	35	0
71	36	0
71	37	0
71	38	0
71	39	0
72	0	0
72	1	0
72	2	0
72	4	0
72	5	0
72	6	0
72	7	0
72	8	0
72	11	0
72	13	0
72	15	0
72	16	0
72	18	0
72	21	0
72	22	0
72	23	0
72	24	0
72	26	0
72	28	0
72	31	0
72	33	0
72	34	0
72	36	0
72	37	0
72	38	0
72	39	0
73	0	0
73	1	0
73	2	0
73	3	0
73	4	0
73	6	0
73	7	0
73	8	0
73	9	0
73	10	0
73	11	0
73	12	0
73	13	0
73	15	0
73	16	0
73	17	0
73	18	0
73	19	0
73	20	0
73	21	0
73	22	0
73	23	0
73	24	0
73	25	0
73	26	0
73	27	0
73	28	0
73	29	0
73	30	0
73	31	0
73	32	0
73	33	0
73	34	0
73	35	0
73	36	0
73	37	0
73	38	0
73	39	0
73	40	0
74	0	0
74	1	0
74	2	0
74	3	0
74	4	0
74	5	0
74	6	0
74	7	0
74	8	0
74	9	0
74	11	0
74	12	0
74	13	0
74	15	0
74	16	0
74	17	0
74	18	0
74	19	0
74	20	0
74	21	0
74	22	0
74	23	0
74	24	0
74	25	0
74	26	0
74	27	0
74	28	0
74	29	0
74	30	0
74	31	0
74	32	0
74	33	0
74	34	0
74	35	0
74	36	0
74	37	0
74	38	0
74	39	0
75	0	0
75	1	0
75	2	0
75	3	0
75	4	0
75	6	0
75	7	0
75	8	0
75	9	0
75	10	0
75	11	0
75	12	0
75	13	0
75	14	0
75	15	0
75	16	0
75	17	0
75	18	0
75	19	0
75	20	0
75	21	0
75	22	0
75	23	0
75	24	0
75	25	0
75	26	0
75	27	0
75	28	0
75	29	0
75	30	0
75	31	0
75	32	0
75	33	0
75	34	0
75	35	0
75	36	0
75	37	0
75	38	0
75	39	0
75	40	0
76	0	0
76	1	0
76	2	0
76	3	0
76	4	0
76	6	0
76	7	0
76	8	0
76	9	0
76	10	0
76	11	0
76	12	0
76	13	0
76	15	0
76	16	0
76	18	0
76	19	0
76	20	0
76	21	0
76	22	0
76	23	0
76	24	0
76	25	0
76	26	0
76	27	0
76	28	0
76	29	0
76	30	0
76	31	0
76	32	0
76	33	0
76	34	0
76	35	0
76	36	0
76	37	0
76	38	0
76	39	0
77	0	0
77	1	0
77	2	0
77	3	0
77	4	0
77	6	0
77	8	0
77	9	0
77	11	0
77	12	0
77	13	0
77	16	0
77	18	0
77	19	0
77	21	0
77	22	0
77	23	0
77	24	0
77	26	0
77	27	0
77	28	0
77	29	0
77	30	0
77	31	0
77	32	0
77	33	0
77	34	0
77	35	0
77	36	0
77	37	0
77	38	0
77	39	0
78	0	0
78	1	0
78	2	0
78	3	0
78	4	0
78	6	0
78	7	0
78	8	0
78	9	0
78	10	0
78	11	0
78	12	0
78	13	0
78	15	0
78	16	0
78	18	0
78	19	0
78	20	0
78	21	0
78	22	0
78	23	0
78	24	0
78	25	0
78	26	0
78	27	0
78	28	0
78	29	0
78	30	0
78	31	0
78	32	0
78	33	0
78	34	0
78	35	0
78	36	0
78	37	0
78	38	0
78	39	0
79	0	0
79	1	0
79	2	0
79	3	0
79	4	0
79	6	0
79	7	0
79	8	0
79	9	0
79	10	0
79	11	0
79	12	0
79	13	0
79	14	0
79	15	0
79	16	0
79	17	0
79	18	0
79	19	0
79	20	0
79	21	0
79	22	0
79	23	0
79	24	0
79	25	0
79	26	0
79	27	0
79	28	0
79	29	0
79	30	0
79	31	0
79	32	0
79	33	0
79	34	0
79	35	0
79	36	0
79	37	0
79	38	0
79	39	0
80	0	0
80	1	0
80	2	0
80	3	0
80	4	0
80	6	0
80	7	0
80	8	0
80	9	0
80	10	0
80	11	0
80	12	0
80	13	0
80	15	0
80	16	0
80	17	0
80	18	0
80	19	0
80	20	0
80	21	0
80	22	0
80	23	0
80	24	0
80	25	0
80	26	0
80	27	0
80	28	0
80	29	0
80	30	0
80	31	0
80	32	0
80	33	0
80	34	0
80	35	0
80	36	0
80	37	0
80	38	0
80	39	0
80	40	0
81	0	0
81	1	0
81	2	0
81	3	0
81	4	0
81	6	0
81	9	0
81	10	0
81	11	0
81	12	0
81	13	0
81	15	0
81	16	0
81	18	0
81	20	0
81	21	0
81	22	0
81	23	0
81	24	0
81	25	0
81	26	0
81	27	0
81	28	0
81	29	0
81	30	0
81	31	0
81	32	0
81	33	0
81	34	0
81	35	0
81	36	0
81	37	0
81	38	0
81	39	0
82	0	0
82	1	0
82	2	0
82	3	0
82	4	0
82	6	0
82	7	0
82	8	0
82	9	0
82	10	0
82	11	0
82	12	0
82	13	0
82	15	0
82	16	0
82	17	0
82	18	0
82	19	0
82	20	0
82	21	0
82	22	0
82	23	0
82	25	0
82	26	0
82	27	0
82	28	0
82	29	0
82	30	0
82	31	0
82	32	0
82	33	0
82	34	0
82	35	0
82	36	0
82	37	0
82	38	0
82	39	0
84	0	0
84	1	0
84	2	0
84	3	0
84	4	0
84	6	0
84	7	0
84	8	0
84	9	0
84	10	0
84	11	0
84	12	0
84	13	0
84	14	0
84	15	0
84	16	0
84	17	0
84	18	0
84	19	0
84	20	0
84	21	0
84	22	0
84	23	0
84	24	0
84	25	0
84	26	0
84	27	0
84	28	0
84	29	0
84	30	0
84	31	0
84	32	0
84	33	0
84	34	0
84	35	0
84	36	0
84	37	0
84	38	0
84	39	0
85	0	0
85	1	0
85	2	0
85	3	0
85	4	0
85	6	0
85	8	0
85	9	0
85	11	0
85	12	0
85	13	0
85	14	0
85	15	0
85	16	0
85	18	0
85	19	0
85	21	0
85	22	0
85	23	0
85	24	0
85	25	0
85	26	0
85	27	0
85	28	0
85	29	0
85	30	0
85	31	0
85	32	0
85	33	0
85	34	0
85	35	0
85	36	0
85	37	0
85	38	0
85	39	0
85	40	0
86	0	0
86	1	0
86	2	0
86	3	0
86	4	0
86	5	0
86	6	0
86	7	0
86	8	0
86	9	0
86	10	0
86	11	0
86	12	0
86	13	0
86	14	0
86	15	0
86	16	0
86	17	0
86	18	0
86	20	0
86	21	0
86	22	0
86	23	0
86	24	0
86	25	0
86	26	0
86	27	0
86	28	0
86	29	0
86	30	0
86	31	0
86	32	0
86	33	0
86	34	0
86	35	0
86	36	0
86	37	0
86	38	0
86	39	0
87	0	0
87	1	0
87	2	0
87	3	0
87	4	0
87	5	0
87	6	0
87	7	0
87	8	0
87	9	0
87	11	0
87	12	0
87	13	0
87	15	0
87	16	0
87	17	0
87	18	0
87	19	0
87	20	0
87	21	0
87	22	0
87	23	0
87	24	0
87	25	0
87	26	0
87	27	0
87	28	0
87	29	0
87	30	0
87	31	0
87	32	0
87	33	0
87	34	0
87	35	0
87	36	0
87	37	0
87	38	0
87	39	0
87	40	0
88	0	0
88	1	0
88	2	0
88	3	0
88	4	0
88	6	0
88	7	0
88	8	0
88	9	0
88	10	0
88	11	0
88	12	0
88	13	0
88	15	0
88	16	0
88	17	0
88	18	0
88	19	0
88	20	0
88	21	0
88	22	0
88	23	0
88	24	0
88	25	0
88	26	0
88	27	0
88	28	0
88	29	0
88	30	0
88	31	0
88	32	0
88	33	0
88	34	0
88	35	0
88	36	0
88	37	0
88	38	0
88	39	0
89	0	0
89	1	0
89	2	0
89	3	0
89	4	0
89	6	0
89	7	0
89	8	0
89	9	0
89	10	0
89	11	0
89	12	0
89	13	0
