"time"	"distance"	"value"
36	0	0.395
36	1	0.516
36	2	0.455
36	3	0.222
36	4	0.303
36	5	0.267
36	6	0.311
36	7	0.308
36	8	0.276
36	9	0.36
36	10	0.368
36	11	0.444
36	12	0.469
36	13	0.557
36	14	0.528
36	15	0.511
36	16	0.422
36	17	0.267
36	18	0.242
36	19	0.2
36	20	0.22
36	21	0.194
36	22	0.176
36	23	0.16
36	24	0.31
36	25	0.194
36	26	0.097
36	27	0
36	28	0
36	29	0.034
36	30	0.037
36	31	0
36	32	0.05
36	33	0.353
36	34	0.247
38	0	0.667
38	1	0.636
38	2	0.429
38	3	0.333
38	4	0.143
38	5	1
38	6	0.333
38	7	0.333
38	8	0.2
38	9	0
38	10	0.333
38	11	0.333
38	12	0.75
38	13	0.636
38	14	0.429
38	15	0.5
38	16	0.5
38	17	0.571
38	18	0.444
38	19	0.4
38	20	0.25
38	21	0.5
38	22	0.429
38	23	0.375
38	24	0.5
38	25	0.5
38	26	0.25
38	27	0
38	28	0
38	29	0
38	30	0
38	31	0
38	32	0
38	33	0
38	34	0.412
39	0	0.316
39	1	0.471
39	2	0.44
39	3	0.333
39	4	0.333
39	5	0.438
39	6	0.556
39	7	0.462
39	8	0.357
39	9	0.4
39	10	0.5
39	11	0.5
39	12	0.525
39	13	0.605
39	14	0.586
39	15	0.542
39	16	0.692
39	17	0.231
39	18	0.269
39	19	0.176
39	20	0.083
39	21	0.05
39	22	0.053
39	23	0.108
39	24	0.154
39	25	0.167
39	26	0.105
39	27	0
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0.053
39	33	0
39	34	0.213
40	0	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	11	0
40	12	0
40	13	0.333
40	14	0
40	15	0
40	16	0
40	17	0
40	18	0
40	19	0
40	20	0
40	21	0
40	22	0
40	23	0.667
40	24	0
40	25	0
40	26	0
40	27	0
40	28	0
40	29	0
40	31	0
40	32	0
40	34	0
41	0	0.269
41	1	0.267
41	2	0.312
41	3	0.25
41	4	0.333
41	5	0.182
41	6	0.312
41	7	0.3
41	8	0.3
41	9	0.273
41	10	0
41	11	0.333
41	12	0.435
41	13	0.281
41	14	0.389
41	15	0.389
41	16	0.364
41	17	0.15
41	18	0.05
41	19	0
41	20	0
41	21	0
41	22	0.143
41	23	0.176
41	24	0.091
41	25	0.083
41	26	0.167
41	27	0
41	28	0
41	29	0
41	30	0
41	31	0
41	32	0
41	33	0.545
41	34	0.316
42	0	0.75
42	1	0.727
42	2	0.4
42	3	0.5
42	4	0.455
42	5	0.571
42	6	0.4
42	7	0.5
42	8	0.667
42	9	0.429
42	10	0.4
42	11	0.6
42	12	0.632
42	13	0.762
42	14	0.833
42	15	0.667
42	16	0.643
42	17	0.308
42	18	0.353
42	19	0.429
