"time"	"distance"	"value"
36	0	0.415
36	1	0.517
36	2	0.375
36	3	0
36	4	0.222
36	5	0.25
36	6	0.273
36	7	0.3
36	8	0.286
36	9	0.286
36	10	0.286
36	11	0.429
36	12	0.571
36	13	0.583
36	14	0.533
36	15	0.615
36	16	0.581
36	17	0.286
36	18	0
36	19	0
36	20	0.111
36	21	0
36	22	0
36	23	0.1
36	24	0.067
36	25	0
36	26	0.214
36	27	0.526
36	28	0
36	29	0
36	30	0
36	31	0
36	32	0.167
36	33	0.4
36	34	0.533
36	35	0.022
37	0	0.2
37	1	0.476
37	2	0.2
37	3	0
37	4	0
37	5	0.25
37	6	0.25
37	7	0
37	8	0.167
37	9	0.4
37	10	0.5
37	11	0.444
37	12	0.444
37	13	0.462
37	14	0.5
37	15	0.75
37	16	0.438
37	17	0.154
37	18	0.5
37	19	0
37	20	0.333
37	21	0.167
37	22	0.125
37	23	0.2
37	24	0.143
37	25	0
37	26	0.25
37	27	0.5
37	28	0.143
37	29	0
37	30	0
37	31	0
37	32	0
37	33	0
37	34	0
37	35	0
39	0	0.517
39	1	0.816
39	2	0.5
39	3	0.308
39	4	0.333
39	5	0.143
39	6	0.571
39	7	0.273
39	8	0.438
39	9	0.444
39	10	0.625
39	11	0.4
39	12	0.609
39	13	0.75
39	14	0.682
39	15	0.75
39	16	0.816
39	17	0.5
39	18	0.31
39	19	0.111
39	20	0.056
39	21	0.273
39	22	0.312
39	23	0.267
39	24	0.167
39	25	0
39	26	0.28
39	27	0.6
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0.056
39	33	0.133
39	34	0.125
39	35	0.054
42	0	0.412
42	1	0.355
42	2	0.4
42	3	0.455
42	4	0.25
42	5	0.25
42	6	0.125
42	7	0.2
42	8	0.333
42	9	0.429
42	10	0.5
42	11	0.545
42	12	0.667
42	13	0.526
42	14	0.667
42	15	0.85
42	16	0.722
42	17	0.533
42	18	0.286
42	19	0.25
42	20	0.1
42	21	0.6
42	22	0.222
42	23	0.3
42	24	0
42	25	0
42	26	0.182
42	27	0.2
42	28	0
42	29	0
42	30	0
42	31	0
42	32	0
42	33	0.222
42	34	0.156
42	35	0
44	0	0.727
44	1	0.545
44	2	0.333
44	3	0.333
44	4	0.333
44	5	1
44	6	0.5
44	7	0.667
44	8	1
44	9	0.667
44	10	0.75
44	11	1
44	12	0.9
44	13	0.8
44	14	0.8
44	15	1
44	16	0.667
44	17	0.4
44	18	0.1
44	19	0
44	20	0.2
44	21	0
44	22	0.4
44	23	0
44	24	0.143
44	25	0
44	26	0
44	27	0.286
44	28	0
44	29	0
44	30	0
44	31	0
44	32	0.4
44	33	0.143
44	34	0.467
44	35	0
45	0	0.324
45	1	0.191
45	2	0.105
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0.062
45	9	0
45	10	0.111
45	11	0.053
45	12	0.111
45	13	0.189
45	14	0
45	15	0.343
45	16	0.103
45	17	0.103
45	18	0
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0.059
45	24	0.048
45	25	0
45	26	0.087
45	27	0.174
45	28	0
45	29	0
45	30	0
45	31	0
45	32	0
45	33	0.267
45	34	0.269
45	35	0
48	0	0.667
48	1	0.567
48	2	0.333
48	3	0.143
48	4	0
48	5	0
48	6	0.167
48	7	0.333
48	8	0.25
48	9	0.2
48	10	1
48	11	0
48	12	0.444
48	13	0.25
48	14	0.25
48	15	0.444
48	16	0.25
48	17	0.333
48	18	0
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0
48	24	0
48	25	0
48	26	0.4
48	27	0.143
48	28	0
48	29	0
48	30	0
48	31	0
48	32	0
48	33	0
48	34	0
49	0	0.488
49	1	0.468
49	2	0.154
49	3	0.182
49	4	0
49	5	0
49	6	0.133
49	7	0.333
49	8	0.167
49	9	0.25
49	10	0.2
49	11	0.25
49	12	0.25
49	13	0.286
49	14	0.235
49	15	0.423
49	16	0.174
49	17	0.227
49	18	0
49	19	0
49	20	0
49	21	0
49	22	0
49	23	0.111
49	24	0
49	25	0
49	26	0.333
49	27	0.412
49	28	0.1
49	29	0
49	30	0
49	31	0
49	32	0
49	33	0.3
49	34	0.143
50	0	0.429
50	1	0.636
50	2	0.4
50	3	0.2
50	4	0.25
50	5	0
50	6	0.167
50	7	0.5
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	0.125
50	15	0
50	16	0.231
50	17	0
50	18	0
50	19	0
50	20	0
50	21	0
50	22	0
50	23	0
50	24	0
50	25	0
50	26	0
50	27	0
50	28	0
50	29	0
50	30	0
50	31	0
50	32	0
50	33	0
50	34	0
51	0	0.643
51	1	0.872
51	2	0.667
51	3	0.636
51	4	0.467
51	5	0.194
51	6	0.583
51	7	0.375
51	8	0.625
51	9	0.5
51	10	0.75
51	11	0.833
51	12	0.684
51	13	0.708
51	14	0.789
51	15	0.81
51	16	0.667
51	17	0.476
51	18	0.529
51	19	0.111
51	20	0.267
51	21	0.429
51	22	0.455
51	23	0.444
51	24	0
51	25	0
51	26	0.182
51	27	0.538
51	28	0
51	29	0
51	30	0
51	31	0
51	32	0.111
51	33	0.455
51	34	0.333
53	0	0.032
53	1	0.206
53	2	0.111
53	3	0.071
53	4	0.077
53	5	0.167
53	6	0.056
53	7	0
53	8	0.143
53	9	0.167
53	10	0.143
53	11	0.263
53	12	0.259
53	13	0.242
53	14	0.28
53	15	0.185
53	16	0.261
53	17	0
53	18	0.059
53	19	0
53	20	0
53	21	0
53	22	0
53	23	0
53	24	0
53	25	0
53	26	0.034
53	27	0
53	28	0
53	29	0
53	30	0
53	31	0
53	32	0.048
53	33	0.2
53	34	0.287
53	35	0.043
54	0	0.182
54	1	0.209
54	2	0.136
54	3	0.105
54	4	0.062
54	5	0.182
54	6	0.08
54	7	0.071
54	8	0.118
54	9	0.091
54	10	0.222
54	11	0.067
54	12	0.189
54	13	0.189
54	14	0.133
54	15	0.241
54	16	0.333
54	17	0.24
54	18	0.125
54	19	0
54	20	0
54	21	0
54	22	0.071
54	23	0
54	24	0.062
54	25	0
54	26	0.045
54	27	0.074
54	28	0
54	29	0
54	30	0
54	31	0
54	32	0
54	33	0.211
54	34	0.326
54	35	0.08
55	0	0.392
55	1	0.532
55	2	0.417
55	3	0.308
55	4	0.233
55	5	0.25
55	6	0.226
55	7	0.207
55	8	0.333
55	9	0.286
55	10	0.364
55	11	0.426
55	12	0.644
55	13	0.562
55	14	0.571
55	15	0.514
55	16	0.405
55	17	0.25
55	18	0.367
55	19	0.2
55	20	0.233
55	21	0.304
55	22	0.44
55	23	0.25
55	24	0.28
55	25	0.037
55	26	0.147
55	27	0.128
55	28	0.047
55	29	0
55	30	0.038
55	31	0.125
55	32	0.095
55	33	0.318
55	34	0.292
55	35	0.088
56	0	0.111
56	1	0.5
56	2	0.154
56	3	0
56	4	0.143
56	5	0.375
56	6	0.091
56	7	0
56	8	0.111
56	9	0.143
56	10	0
56	11	0.125
56	12	0.312
56	13	0.174
56	14	0.25
56	15	0.588
56	16	0.588
56	17	0.167
56	18	0.143
56	19	0
56	20	0.125
56	21	0
56	22	0.091
56	23	0
56	24	0.077
56	25	0
56	26	0.267
56	27	0.462
56	28	0.143
56	29	0
56	30	0
56	31	0
56	32	0.111
56	33	0.429
56	34	0.5
57	0	0.25
57	1	0.312
57	2	0.25
57	3	0.125
57	4	0
57	5	0.2
57	6	0.133
57	7	0.231
57	8	0.188
57	9	0.4
57	10	0.273
57	11	0.368
57	12	0.5
57	13	0.481
57	14	0.407
57	15	0.444
57	16	0.45
57	17	0.083
57	18	0
57	19	0
57	20	0
57	21	0
57	22	0
57	23	0
57	24	0
57	25	0
57	26	0
57	27	0
57	28	0
57	29	0
57	30	0
57	31	0
57	32	0
57	33	0.286
57	34	0.333
58	0	0.222
58	1	0.217
58	2	0.143
58	3	0.095
58	4	0.351
58	5	0.154
58	6	0.227
58	7	0.25
58	8	0.278
58	9	0.263
58	10	0.375
58	11	0.25
58	12	0.275
58	13	0.395
58	14	0.359
58	15	0.355
58	16	0.321
58	17	0.278
58	18	0.08
58	19	0
58	20	0.167
58	21	0.188
58	22	0.071
58	23	0.091
58	24	0.067
