"time"	"distance"	"value"
36	0	0.487
36	1	0.691
36	2	0.446
36	3	0.159
36	4	0.179
36	5	0.087
36	6	0.362
36	7	0.286
36	8	0.333
36	9	0.423
36	10	0.327
36	11	0.5
36	12	0.579
36	13	0.571
36	14	0.534
36	15	0.597
36	16	0.603
36	17	0.328
36	18	0.206
36	19	0.162
36	20	0.118
36	21	0.08
36	22	0.164
36	23	0.2
36	24	0.206
36	25	0.122
36	26	0.071
36	27	0.133
36	28	0.207
36	29	0.056
36	30	0
36	31	0
36	32	0.026
36	33	0.05
36	34	0
36	35	0
36	36	0
36	37	0
36	38	0
36	39	0.022
36	40	0.029
36	41	0.085
36	42	0.05
36	43	0.083
36	44	0.365
37	0	0.231
37	1	0.464
37	2	0.364
37	3	0.1
37	4	0.1
37	5	0.125
37	6	0
37	7	0.125
37	8	0.286
37	9	0.167
37	10	0
37	11	0.333
37	12	0.222
37	13	0.292
37	14	0.333
37	15	0.35
37	16	0.438
37	17	0.368
37	18	0.381
37	19	0.462
37	20	0.273
37	21	0.25
37	22	0.588
37	23	0.487
37	24	0.417
37	25	0.3
37	26	0.2
37	27	0.071
37	28	0.038
37	29	0
37	30	0
37	31	0.1
37	32	0.083
37	33	0
37	34	0
37	35	0
37	36	0
37	37	0
37	38	0
37	39	0
37	40	0
37	41	0
37	42	0
37	43	0
37	44	0.333
38	0	0.4
38	1	0.692
38	2	0.52
38	3	0.176
38	4	0.2
38	5	0
38	6	0.316
38	7	0.286
38	8	0.4
38	9	0.333
38	10	0.125
38	11	0.417
38	12	0.429
38	13	0.438
38	14	0.483
38	15	0.55
38	16	0.5
38	17	0.273
38	18	0.161
38	19	0.211
38	20	0.062
38	21	0
38	22	0.043
38	23	0.143
38	24	0.25
38	25	0.067
38	26	0.05
38	27	0
38	28	0.042
38	29	0
38	30	0
38	31	0
38	32	0
38	33	0
38	34	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
38	40	0
38	41	0
38	42	0
38	43	0.125
38	44	0.229
39	0	0.341
39	1	0.641
39	2	0.407
39	3	0.25
39	4	0.235
39	5	0.4
39	6	0.364
39	7	0.308
39	8	0.357
39	9	0.364
39	10	0.273
39	11	0.391
39	12	0.361
39	13	0.512
39	14	0.48
39	15	0.519
