"time"	"distance"	"value"
36	0	0.033
36	1	0.06
36	2	0
36	3	0.022
36	4	0
36	5	0.06
36	6	0
36	7	0.083
36	8	0
36	9	0.03
36	10	0.048
36	11	0.038
36	12	0.071
36	13	0.056
36	14	0.104
36	15	0.064
36	16	0
36	17	0.056
36	18	0.047
36	19	0.158
36	20	0.016
36	21	0.095
36	22	0.045
36	23	0
36	24	0
36	25	0.071
36	26	0
36	27	0
36	28	0
36	29	0
36	30	0
36	31	0
36	32	0
36	33	0
36	34	0
36	35	0
36	36	0
36	37	0
36	38	0
36	39	0
36	40	0.034
36	41	0.138
37	0	0.092
37	1	0.128
37	2	0.116
37	3	0.047
37	4	0.031
37	5	0.19
37	6	0
37	7	0
37	8	0
37	9	0.261
37	10	0.261
37	11	0.043
37	12	0.143
37	13	0
37	14	0.111
37	15	0
37	16	0.182
37	17	0
37	18	0.143
37	19	0
37	20	0.083
37	21	0
37	22	0
37	23	0
37	24	0
37	25	0
37	26	0
37	27	0.111
37	28	0.143
37	29	0.091
37	30	0
37	31	0
37	32	0
37	33	0
37	34	0
37	35	0
37	36	0
37	37	0.136
37	38	0.167
37	39	0
37	40	0.188
37	41	0.031
38	0	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
38	25	0
38	26	0
38	27	0
38	28	0
38	29	0
38	31	0
38	32	0
38	33	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
38	40	0
38	41	0
39	0	0.017
39	1	0.039
39	2	0.019
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0.028
39	11	0
39	12	0
39	13	0.095
39	14	0.062
39	15	0.037
39	16	0
39	17	0.071
39	18	0
39	19	0.1
39	20	0.025
39	21	0.078
39	22	0.111
39	23	0
39	24	0
39	25	0
39	26	0
39	27	0
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0
39	33	0
39	34	0
39	35	0
39	36	0
39	37	0
39	38	0
39	39	0
39	40	0.053
39	41	0.023
39	42	0
40	0	0.119
40	1	0.279
40	2	0.125
40	3	0.103
40	4	0.183
40	5	0.253
40	6	0
40	7	0
40	8	0
40	9	0.062
40	10	0.17
40	11	0.067
40	12	0.087
40	13	0.167
40	14	0.059
40	15	0.061
40	16	0.062
40	17	0.071
40	18	0.061
40	19	0.071
40	20	0.096
40	21	0
40	22	0
40	23	0
40	24	0.333
40	25	0
40	26	0.053
40	27	0
40	28	0
40	29	0.047
40	30	0
40	31	0
40	32	0
40	33	0
40	34	0
40	35	0
40	36	0
40	37	0.05
40	38	0.065
40	39	0
40	40	0.034
40	41	0.135
40	42	0
41	0	0.059
41	1	0.154
41	2	0.115
41	3	0.083
41	4	0.048
41	5	0.25
41	6	0
41	7	0
41	8	0.111
41	9	0.1
41	10	0.125
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
41	18	0
41	19	0
41	20	0
41	21	0
41	22	0
41	23	0
41	24	0
41	25	0
41	26	0
41	27	0
41	28	0
41	29	0
41	30	0
41	31	0
41	32	0
41	33	0
41	34	0
41	35	0
41	36	0
41	37	0
41	38	0
41	39	0
41	40	0
41	41	0.041
41	42	0.222
42	0	0.009
42	1	0.023
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0.022
42	11	0
42	12	0
42	13	0.04
42	14	0.026
42	15	0.05
42	16	0
42	17	0
42	18	0
42	19	0
42	20	0.024
42	21	0.032
42	22	0.024
42	23	0
42	24	0
42	25	0
42	26	0
42	27	0
42	28	0
42	29	0
42	30	0
42	31	0
42	32	0
42	33	0
42	34	0
42	35	0
42	36	0
42	37	0
42	38	0
42	39	0
42	40	0
42	41	0.033
42	42	0
43	0	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	0
43	25	0
43	26	0
43	27	0
43	28	0
43	29	0
43	30	0
43	31	0
43	32	0
43	33	0
43	34	0
43	35	0
43	36	0
43	37	0
43	38	0
43	39	0
43	40	0
43	41	0
43	42	0
44	0	0.178
44	1	0.195
44	2	0.143
44	3	0.127
44	4	0.074
44	5	0.193
44	6	0
44	7	0
44	8	0.056
44	9	0.115
44	10	0.077
44	11	0.026
44	12	0.067
44	13	0.04
44	14	0
44	15	0
44	16	0
44	17	0
44	18	0
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0
44	25	0
44	26	0
44	27	0
44	28	0
44	29	0
44	30	0
44	31	0
44	32	0
44	33	0
44	34	0
44	35	0
44	36	0
44	37	0
44	38	0
44	39	0
44	40	0.056
44	41	0.121
44	42	0
45	0	0.009
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0.031
45	11	0
