"time"	"distance"	"value"
36	5	0
36	6	0
36	7	0.208
36	8	0.6
36	9	0.538
36	10	0.444
36	11	0.375
36	12	0.385
36	13	0.083
36	14	0.417
36	15	0.381
36	16	0.5
36	17	0.538
36	18	0.462
36	19	0.533
36	20	0.6
36	21	0.333
36	22	0.5
36	24	0.444
36	25	0.4
36	26	0.5
36	27	0.5
36	28	0.6
36	29	0.636
36	30	0.545
36	31	0.474
36	32	0.545
36	33	0.19
36	34	0.143
37	0	0.13
37	1	0.048
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0.125
37	13	0
37	14	0
37	15	0.083
37	16	0.667
37	17	0.333
37	18	0.417
37	19	0.444
37	20	0.6
37	21	0.143
37	22	0.333
37	23	0
37	24	0.25
37	25	0
37	26	0.2
37	27	0.2
37	28	0
37	29	0.5
37	30	0.2
37	31	0.333
37	32	0.714
37	33	0.455
37	34	0.438
37	35	1
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0.222
38	17	0.217
38	18	0.222
38	19	0.28
38	20	0.238
38	21	0.333
38	22	0.083
38	23	0
38	24	0.35
38	25	0.286
38	26	0.333
38	27	0.286
38	28	0.316
38	29	0.364
38	30	0.421
38	31	0.333
38	32	0.5
38	33	0.25
39	0	0.167
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0.111
39	8	0.062
39	9	0.143
39	10	0.056
39	11	0.042
39	12	0
39	13	0.111
39	14	0.217
39	15	0.118
39	16	0.5
39	17	0.222
39	18	0.357
39	19	0.556
39	20	0.385
39	21	0.286
39	22	0.5
39	24	0.6
39	25	0.667
39	26	0.4
39	27	0.6
39	28	0.333
39	29	0.75
39	30	0.625
39	31	0.8
39	32	0.611
39	33	0.8
39	34	0.283
39	35	0.2
40	0	0.103
40	1	0.083
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0.091
40	9	0.154
40	10	0
40	11	0.111
40	12	0
40	13	0.167
40	14	0.2
40	15	0.188
40	16	0.273
40	17	0.414
40	18	0.5
40	19	0.355
40	20	0.323
40	21	0.318
40	22	0.421
40	23	0
40	24	0.286
40	25	0.267
40	26	0.357
40	27	0.364
40	28	0.429
40	29	0.474
40	30	0.45
40	31	0.562
40	32	0.71
40	33	0.8
40	34	0.737
41	0	0.198
41	1	0.077
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0.115
41	16	0.167
41	17	0.474
41	18	0.211
41	19	0.368
41	20	0.471
41	21	0.412
41	22	0.545
41	23	0
41	24	0.583
41	25	0.333
41	26	0.333
41	27	0.455
41	28	0.5
41	29	0.5
41	30	0.412
41	31	0.571
41	32	0.538
41	33	0.586
41	34	0.441
41	35	1
42	0	0.159
42	1	0.091
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0.067
42	8	0.067
42	9	0.103
42	10	0.136
42	11	0.125
42	12	0.095
42	13	0.125
42	14	0.1
42	15	0.094
42	16	0.364
42	17	0.438
42	18	0.2
42	19	0.423
42	20	0.2
42	21	0.083
42	22	0.143
42	23	0
42	24	0
42	25	0.167
42	26	0
42	27	0
42	28	0
42	29	0
42	30	0
42	31	0.417
42	32	0.25
42	33	0.421
42	34	0.471
42	35	1
43	0	0.214
43	1	0.067
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0.071
43	8	0.143
43	9	0.1
43	10	0.167
43	11	0.235
43	12	0.1
43	13	0
43	14	0.333
43	15	0.333
43	16	0.333
43	17	0.25
43	18	0.529
43	19	0.375
43	20	0.405
43	21	0.318
43	22	0.312
43	23	0
43	24	0.455
43	25	0.385
43	26	0.438
43	27	0.357
43	28	0.5
43	29	0.455
43	30	0.565
43	31	0.594
43	32	0.586
43	33	0.576
43	34	0.513
44	0	0.216
44	1	0.067
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0.023
44	10	0.045
44	11	0.086
44	12	0.125
44	13	0.143
44	14	0.207
44	15	0.263
44	16	0.333
44	17	0.5
44	18	0.367
44	19	0.538
44	20	0.579
44	21	0.125
44	22	0.25
44	23	1
44	24	0.5
44	25	0.667
44	26	0.25
44	27	0.75
44	28	0.333
44	29	0.222
44	30	0.125
44	31	0.25
44	32	0.368
44	33	0.455
44	34	0.25
44	35	0
45	0	0.208
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0.048
45	8	0.222
45	9	0.207
45	10	0.231
45	11	0.111
45	12	0.429
45	13	0.647
45	14	0.333
45	15	0.321
45	16	0.6
45	17	0.783
45	18	0.545
45	19	0.5
45	20	0.517
45	21	0.357
45	22	0.278
45	24	0.238
45	25	0.5
45	26	0.385
45	27	0.4
45	28	0.409
45	29	0.5
45	30	0.529
45	31	0.682
45	32	0.783
45	33	0.696
45	34	0.517
45	35	0.5
46	0	0.05
46	1	0.091
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0.04
46	10	0.167
46	11	0.111
46	12	0.083
46	13	0.133
46	14	0.364
46	15	0.154
46	16	0.875
46	17	0.435
46	18	0.4
46	19	0.63
46	20	0.441
46	21	0.357
46	22	0.353
46	23	0
46	24	0.167
46	25	0.091
46	26	0.353
46	27	0
46	28	0.318
46	29	0.368
46	30	0.375
46	31	0.375
46	32	0.727
46	33	0.656
46	34	0.733
46	35	0.714
47	0	0.02
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0.091
47	7	0.042
47	8	0.091
47	9	0.156
47	10	0.067
47	11	0.13
47	12	0.208
47	13	0.062
47	14	0.294
47	15	0.073
47	16	0.421
47	17	0.444
47	18	0.417
47	19	0.393
47	20	0.333
47	21	0.28
47	22	0.161
47	23	0.25
47	24	0.625
47	25	0.182
47	26	0.091
47	27	0.4
47	28	0.25
47	29	0.333
47	30	0.357
47	31	0.526
47	32	0.513
47	33	0.577
48	0	0.078
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0.3
48	8	0.167
48	9	0.294
48	10	0.312
48	11	0.346
48	12	0.19
48	13	0.15
48	14	0.333
48	15	0.381
48	16	0.286
48	17	0.56
48	18	0.391
48	19	0.333
48	20	0.385
48	21	0.435
48	22	0.455
48	23	0.5
48	24	0.438
48	25	0.5
48	26	0.3
48	27	0.3
48	28	0.333
48	29	0.462
48	30	0.6
48	31	0.417
48	32	0.632
48	33	0.586
48	34	0.552
48	35	0.6
49	0	0.055
49	1	0
49	2	0
49	3	0
49	4	0
49	5	0
49	6	0
49	7	0.042
49	8	0.045
49	9	0.035
49	10	0
49	11	0.027
49	12	0
49	13	0.034
49	14	0.103
49	15	0.045
49	16	0.176
49	17	0.088
49	18	0
49	19	0
49	20	0
49	21	0
49	22	0
49	23	0
49	24	0
49	25	0.444
49	26	0.286
49	27	0.5
49	28	0.333
49	29	0.4
49	30	0.333
49	31	0.5
49	32	0.429
49	33	0.294
49	34	0.409
49	35	0.429
50	0	0.053
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0.235
50	8	0.091
50	9	0.2
50	10	0.231
50	11	0.273
50	12	0.538
50	13	0.083
50	14	0.25
50	15	0.263
50	16	0.2
50	17	0.344
50	18	0.16
50	19	0.452
50	20	0.513
50	21	0.471
50	22	0.5
50	23	0
50	24	0.25
50	25	0.375
50	26	0.312
50	27	0.3
50	28	0.37
50	29	0.278
50	30	0.24
50	31	0.286
50	32	0.32
50	33	0.438
50	34	0.324
50	35	0.25
51	0	0.299
51	1	0.042
51	2	0
51	3	0
51	4	0
51	5	0
51	6	0
51	7	0.2
51	8	0.2
51	9	0.167
51	10	0.091
51	11	0
51	12	0
51	13	0
51	14	0.3
51	15	0.296
51	16	0.357
51	17	0.4
51	18	0.478
51	19	0.429
51	20	0.576
51	21	0.429
51	22	0.118
51	23	0.75
51	24	0.5
51	25	0.4
51	26	0.545
51	27	0.625
51	28	0.467
51	29	0.571
51	30	0.533
51	31	0.652
51	32	0.889
51	33	0.625
51	34	0.651
51	35	0.333
52	5	0
52	6	0
52	7	0.292
52	8	0.167
52	9	0.359
52	10	0.278
52	11	0.357
52	12	0.375
52	13	0.581
52	14	0.353
52	15	0.316
52	16	0.636
52	17	0.615
52	18	0.556
52	19	0.625
52	20	0.655
52	21	0.5
52	22	0.625
52	23	0.333
52	24	0.483
52	25	0.455
52	26	0.615
52	27	0.583
52	28	0.467
52	29	0.429
52	30	0.5
52	31	0.643
52	32	0.918
52	33	0.973
52	34	0.935
53	0	0.089
53	1	0.071
53	2	0
53	3	0
53	4	0
53	5	0
53	6	0
53	7	0
53	8	0
53	9	0
53	10	0
53	11	0
53	12	0.158
53	13	0.231
53	14	0
53	15	0
53	16	0
53	17	0.385
53	18	0.438
53	19	0.409
53	20	0.5
53	21	0.6
53	22	0.364
53	23	0.833
53	24	0.727
53	25	0.167
53	26	0.5
53	27	0.5
53	28	0.5
53	29	0.636
53	30	0.35
53	31	0.591
53	32	0.689
53	33	0.69
53	34	0.66
53	35	1
54	0	0.326
54	1	0.059
54	2	0
54	3	0
54	4	0
54	5	0
54	6	0
54	7	0.056
54	8	0.133
54	9	0.35
54	10	0.19
54	11	0.2
54	12	0.259
54	13	0.182
54	14	0.304
54	15	0.325
54	16	0.5
54	17	0.6
54	18	0.464
54	19	0.5
54	20	0.611
54	21	0.448
54	22	0.25
54	23	0.667
54	24	0.304
54	25	0
54	26	0
54	27	0
54	28	0
54	29	0
54	30	0
54	31	0.5
54	32	0.462
54	33	0.4
54	34	0.182
