"time"	"distance"	"value"
36	0	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0.167
36	9	0.167
36	10	0
36	11	0.02
36	12	0.021
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0.048
36	18	0.1
36	19	0.317
36	20	0.188
36	21	0.25
36	22	0.259
36	23	0.3
36	24	0.214
36	25	0.25
36	26	0
36	27	0.364
36	28	0.364
36	29	0.25
36	30	0.143
36	31	0.5
36	32	0.375
36	33	0.286
36	34	0.423
36	35	0.619
36	36	0.5
36	37	0.879
37	0	0.02
37	1	0
37	2	0.059
37	3	0
37	4	0.056
37	5	0
37	6	0.037
37	7	0.257
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
37	18	0
37	19	0.108
37	20	0.277
37	21	0.188
37	22	0.147
37	23	0.141
37	24	0.045
37	25	0.132
37	26	0.1
37	27	0.163
37	28	0.667
37	29	0.25
37	30	0.6
37	31	0.5
37	32	0.714
37	33	0.5
37	34	0.45
37	35	0.421
37	36	0.6
37	37	0.444
38	0	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0.4
38	7	0.625
38	8	0
38	13	0
38	14	0
38	15	0
38	16	0.1
38	17	0.14
38	18	0.16
38	19	0.286
38	20	0.286
38	21	0.261
38	22	0.25
38	23	0.143
38	24	0.333
38	25	0.235
38	26	0.125
38	27	0.053
38	28	0.132
38	29	0.158
38	30	0.167
38	31	0.272
38	32	0.326
38	33	0.265
38	34	0.289
38	35	0.286
38	36	0
39	0	0.007
39	1	0.24
39	2	0.222
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	0
39	15	0
39	16	0
39	17	0.038
39	18	0.188
39	19	0.233
39	20	0.381
39	21	0.13
39	22	0.208
39	23	0.071
39	24	0
39	25	0
39	26	0
39	27	0.1
39	28	0
39	29	0.111
39	30	0.182
39	31	0.133
39	32	0.231
39	33	0.379
39	34	0.381
39	35	0.364
39	36	0.26
39	37	0.2
40	0	0.012
40	1	0.056
40	2	0.229
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0.019
40	8	0.026
40	9	0
40	10	0
40	11	0.021
40	12	0.029
40	13	0.03
40	14	0
40	15	0
40	16	0.029
40	17	0.07
40	18	0.161
40	19	0.183
40	20	0.182
40	21	0.163
40	22	0.172
40	23	0
40	24	0
40	25	0
40	26	0
40	27	0
40	28	0
40	29	0
40	30	0
40	31	0
40	32	0
40	33	0.294
40	34	0.143
40	35	0.263
40	36	0.105
40	37	0.083
41	0	0.09
41	1	0.167
41	2	0.033
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0.026
41	8	0.226
41	9	0.167
41	10	0
41	11	0
41	12	0
41	13	0.125
41	14	0.286
41	15	0
41	16	0.111
41	17	0
41	18	0.167
41	19	0.259
41	20	0.167
41	21	0.143
41	22	0.267
41	23	0.167
41	24	0.135
41	25	0.182
41	26	0.154
41	27	0.167
41	28	0.182
41	29	0.258
41	30	0.111
41	31	0.306
41	32	0.309
41	33	0.312
41	34	0.489
41	35	0.539
41	36	0.518
41	37	0.583
42	0	0.161
42	1	0.22
42	2	0.032
42	3	0
42	4	0
42	5	0
42	6	0.029
42	7	0.047
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0.107
42	18	0.167
42	19	0.233
42	20	0.37
42	21	0.407
42	22	0.487
42	23	0.235
42	24	0.167
42	25	0.3
42	26	0.083
42	27	0.167
42	28	0.267
42	29	0.188
42	30	0.214
42	31	0.2
42	32	0.296
42	33	0.36
42	34	0.486
42	35	0.611
42	36	0.48
42	37	0.391
43	0	0.127
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0.074
43	7	0.214
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0.071
43	18	0.067
43	19	0.123
43	20	0.109
43	21	0.113
43	22	0.07
43	23	0.07
43	24	0
43	25	0.059
43	26	0
43	27	0.045
43	28	0.129
43	29	0.173
43	30	0.176
43	31	0.171
43	32	0.214
43	33	0.367
43	34	0.446
43	35	0.222
44	0	0.103
44	1	0.14
44	2	0.115
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
44	18	0.098
44	19	0.113
44	20	0.214
44	21	0.129
44	22	0.2
44	23	0.2
44	24	0.154
44	25	0.154
44	26	0.1
44	27	0.273
44	28	0.167
44	29	0.185
44	30	0.2
44	31	0.182
44	32	0.167
44	33	0.333
44	34	0.333
44	35	0.372
44	36	0.28
44	37	0.5
45	0	0.091
45	1	0.314
45	2	0.148
45	3	0
45	4	0
45	5	0
45	6	0.038
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0.038
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0.033
45	17	0.027
45	18	0.167
45	19	0.121
45	20	0.095
45	21	0.054
45	22	0.152
45	23	0.057
45	24	0.103
45	25	0.074
45	26	0.071
45	27	0.091
45	28	0.048
45	29	0.114
45	30	0.138
45	31	0.129
45	32	0.219
45	33	0.159
45	34	0.132
45	35	0.191
45	36	0.174
45	37	0.333
46	0	0.018
46	1	0.282
46	2	0.167
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0.024
46	8	0
46	9	0
46	10	0
46	11	0.029
46	12	0.08
46	13	0.03
46	14	0
46	15	0
46	16	0.065
46	17	0.14
46	18	0.17
46	19	0.2
46	20	0.217
46	21	0.167
46	22	0.441
46	23	0.261
46	24	0.412
46	25	0.263
46	26	0.111
46	27	0.231
46	28	0.2
46	29	0.333
46	30	0.481
46	31	0.333
46	32	0.218
46	33	0.25
46	34	0.282
46	35	0.268
46	36	0.231
46	37	0.609
47	0	0.173
47	1	0.03
47	2	0.029
47	3	0.02
47	4	0
47	5	0.025
47	6	0.062
47	7	0.111
47	8	0
47	9	0.035
47	10	0.045
47	11	0.103
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0.027
47	18	0.094
47	19	0.135
47	20	0.12
47	21	0.091
47	22	0.15
47	23	0.294
47	24	0.062
47	25	0.071
47	26	0.077
47	27	0.174
47	28	0.143
47	29	0.154
47	30	0.056
47	31	0.231
47	32	0.207
47	33	0.163
47	34	0.311
47	35	0.333
47	36	0.8
47	37	0.5
48	0	0
48	1	0.083
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0.125
48	7	0.125
48	8	0
48	9	0
48	10	0
48	11	0.044
48	12	0.068
48	13	0.068
48	14	0.074
48	15	0.23
48	16	0.388
48	17	0.295
48	18	0.2
48	19	0.361
48	20	0.353
48	21	0.3
48	22	0.311
48	23	0.22
48	24	0.133
48	25	0.326
48	26	0.304
48	27	0.333
48	28	0.333
48	29	0.395
48	30	0.561
48	31	0.308
48	32	0.229
48	33	0.128
48	34	0.132
48	35	0.167
49	0	0.024
49	1	0
49	2	0
49	3	0
49	4	0
49	5	0
49	6	0.024
49	7	0.044
49	8	0
49	9	0
49	10	0.029
49	11	0.135
49	12	0.033
49	13	0.022
49	14	0
49	15	0.086
49	16	0.122
49	17	0.161
49	18	0.091
49	19	0.103
49	20	0.125
49	21	0.115
49	22	0
49	23	0.188
49	24	0
49	25	0.158
49	26	0.125
49	27	0.105
49	28	0.273
49	29	0.212
49	30	0.438
49	31	0.415
49	32	0.682
49	33	0.579
49	34	0.565
49	35	0.392
49	36	0.3
49	37	0.143
50	0	0.051
50	1	0.059
50	2	0.042
50	3	0
50	4	0
50	5	0.029
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0.03
50	11	0.061
50	12	0.026
50	13	0
50	14	0.065
50	15	0
50	16	0.038
50	17	0.263
50	18	0.247
50	19	0.224
50	20	0.161
50	21	0.167
50	22	0.131
50	23	0.125
50	24	0.129
50	25	0.094
50	26	0.105
50	27	0.175
50	28	0.3
50	29	0.358
50	30	0.27
50	31	0.244
50	32	0.31
50	33	0.359
50	34	0.283
50	35	0.281
50	36	0.214
50	37	0.444
51	0	0.118
51	1	0.059
51	2	0
51	3	0
51	4	0.032
51	5	0
51	6	0.083
51	7	0
51	8	0
51	9	0
51	10	0.026
51	11	0.077
51	12	0
51	13	0.089
51	14	0.125
51	15	0.381
51	16	0.49
51	17	0.286
51	18	0.265
51	19	0.128
51	20	0.259
51	21	0.231
51	22	0.308
51	23	0.1
51	24	0.2
51	25	0.24
51	26	0.273
51	27	0.192
51	28	0.5
51	29	0.459
51	30	0.6
51	31	0.692
51	32	0.51
51	33	0.378
51	34	0.432
51	35	0.404
51	36	0.293
51	37	0.211
52	0	0.026
52	1	0.028
52	2	0.05
52	3	0
52	4	0
52	5	0
52	6	0
52	7	0
52	8	0
52	9	0
52	10	0.056
52	11	0.048
52	12	0.118
52	13	0.1
52	14	0.154
52	15	0.385
52	16	0.28
52	17	0.368
52	18	0.185
52	19	0.209
52	20	0.25
52	21	0.268
52	22	0.185
52	23	0.105
52	24	0.333
52	25	0.261
52	26	0.231
52	27	0.125
52	28	0.235
52	29	0.49
52	30	0.5
52	31	0.236
52	32	0.375
52	33	0.386
52	34	0.44
52	35	0.449
52	36	1
52	37	0.714
53	0	0.167
53	1	0.105
53	2	0.053
53	3	0
53	4	0
53	5	0
53	6	0.057
53	7	0.021
53	8	0.041
53	9	0.021
53	10	0
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0.086
53	17	0.25
53	18	0.243
53	19	0.283
53	20	0.375
53	21	0.314
53	22	0.244
53	23	0.133
53	24	0.167
53	25	0.067
53	26	0
53	27	0.067
53	28	0
53	29	0.083
53	30	0
53	31	0.222
53	32	0.333
53	33	0.167
53	34	0.333
53	35	0
54	0	0.014
54	1	0.176
54	2	0
54	3	0
54	4	0
54	5	0
54	6	0
54	7	0.059
54	8	0.231
54	9	0
54	10	0
54	11	0.118
54	12	0.312
54	13	0.353
54	14	0.385
54	15	0.35
54	16	0.417
54	17	0.656
54	18	0.5
54	23	0.25
54	24	0.429
54	25	0.375
54	26	0.444
54	27	0.211
54	28	0.444
54	29	0.357
54	30	0.353
54	31	0.48
54	32	0.723
54	33	0.703
54	34	0.556
54	35	0.5
54	36	0
54	37	0
55	0	0
55	1	0.048
55	2	0.2
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
55	8	0
55	9	0
55	10	0
55	11	0.111
55	12	0
55	13	0.286
55	14	0
55	15	0
55	16	0.2
55	17	0.455
55	18	0.629
55	19	0.439
55	20	0.5
55	21	0.48
55	22	0.514
55	23	0.333
55	24	0.269
55	25	0.25
55	26	0.333
55	27	0.273
55	28	0.4
55	29	0.312
55	30	0.571
55	31	0.231
55	32	0.5
55	33	0.474
55	34	0.674
55	35	0.694
55	36	0.739
55	37	0.333
56	0	0.1
56	1	0
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0.167
56	7	0.087
56	8	0
56	9	0.053
56	10	0.333
56	11	0.227
56	12	0.167
56	13	0.28
56	14	0.444
56	15	0.208
56	16	0.452
56	17	0.565
56	18	0.531
56	19	0.606
56	20	0.579
56	21	0.391
56	22	0.312
56	23	0.167
56	24	0
56	25	0.333
56	26	0.25
56	27	0.6
56	28	0.615
56	29	0.462
56	30	0.625
56	31	0.286
56	32	0.778
56	33	0.5
56	34	0.591
56	35	0.556
56	36	0.667
56	37	0.667
57	0	0.1
57	1	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0.2
57	7	0.1
57	8	0
57	9	0
57	10	0
57	11	0.056
57	12	0
57	13	0.045
57	14	0
57	15	0
57	16	0.315
57	17	0.414
57	18	0.45
57	19	0.353
57	20	0.421
57	21	0.368
57	22	0.333
57	23	0.312
57	24	0.375
57	25	0.368
57	26	0.556
57	27	0.4
57	28	0.444
57	29	0.4
57	30	0.333
57	31	0.5
57	32	0.727
57	33	0.727
57	34	0.545
57	35	0.444
58	0	0.308
58	1	0
58	2	0
58	3	0
58	4	0
58	5	0
58	6	0.071
58	7	0.333
58	8	0
58	9	0.059
58	10	0.214
58	11	0.25
58	12	0.273
58	13	0.214
58	14	0.444
58	15	0.458
58	16	0.86
58	17	0.686
58	18	0.462
58	19	0.68
58	20	0.615
58	21	0.385
58	22	0.583
58	23	0.5
58	24	0.5
58	25	0.538
58	26	0.25
58	27	0.6
58	28	0.571
58	29	0
58	30	0
58	31	0.6
58	32	0.75
58	33	0.757
58	34	0.5
58	35	0.63
59	0	0.082
59	1	0
59	2	0
59	3	0
59	4	0
59	5	0.071
59	6	0.04
59	7	0.154
59	8	0
59	9	0
59	10	0.083
59	11	0
59	12	0.222
59	13	0.083
59	14	0
59	15	0.333
59	16	0.8
59	17	0.667
59	18	0.444
59	19	0.667
59	20	0.636
59	21	0.556
59	22	0.455
59	23	0.333
59	24	0.667
59	25	0.444
59	26	0.333
59	27	0.167
59	28	0.429
59	29	0.471
59	30	0.533
59	31	0.571
59	32	0.694
59	33	0.75
59	34	0.688
59	35	0.788
60	0	0
60	1	0
60	2	0
60	3	0
60	4	0
60	5	0
60	6	0.062
60	7	0
60	8	0.083
60	9	0
60	10	0
60	11	0.056
60	12	0.083
60	13	0.05
60	14	0
60	15	0
60	16	0.077
60	17	0.158
60	18	0.682
60	19	0.185
60	20	0.286
60	21	0.25
60	22	0.294
60	23	0.2
60	24	0.75
60	25	0.222
60	26	0
60	27	0.333
60	28	0.429
60	29	0
60	30	0.333
60	31	0.111
60	32	0.353
60	33	0.231
60	34	0.478
60	35	0.556
60	36	0.5
60	37	0.75
61	6	0.5
61	7	0.05
61	8	0.111
61	9	0
61	10	0
61	11	0
61	12	0
61	13	0
61	14	0.1
61	15	0
61	16	0.294
61	17	0.406
61	18	0.348
61	19	0.3
61	20	0.111
61	21	0.333
61	22	0.435
61	23	0.222
61	24	0.214
61	25	0.25
61	26	0.25
61	27	0.353
61	28	0.455
61	29	0.182
61	30	0.417
61	31	0.368
61	32	0.421
61	33	0.438
61	34	0.562
62	0	0.439
62	1	0.083
62	2	0
62	3	0
62	4	0.143
62	5	0
62	6	0
62	7	0.1
62	8	0
62	9	0
62	10	0
62	11	0
62	12	0
62	13	0
62	14	0
62	15	0
62	16	0
62	17	0.04
62	18	0.056
62	19	0.167
62	20	0.231
62	21	0.091
62	22	0.444
62	23	0
62	24	0.5
62	25	0.182
62	26	0
62	27	0
62	28	0.167
62	29	0.286
62	30	0
62	31	0.3
62	32	0.556
62	33	0.692
62	34	0.793
62	35	0.63
62	36	0.455
62	37	0.647
63	1	0
63	2	0
63	3	0.071
63	4	0
63	5	0
63	6	0.158
63	7	0.158
63	8	0
63	9	0
63	10	0.042
63	11	0.125
63	12	0
63	13	0.158
63	14	0
63	15	0
63	16	0.19
63	17	0.395
63	18	0.5
63	19	0.579
63	20	0.55
63	21	0.688
63	22	0.5
63	23	0.273
63	24	0
63	25	0.625
63	26	0.5
63	27	0.714
63	28	0.444
63	29	0.438
63	30	0.455
63	31	0.429
63	32	0.667
63	33	0.421
64	0	0.13
64	1	0.125
64	2	0
64	3	0.077
64	4	0
64	5	0
64	6	0
64	7	0.111
64	8	0
64	9	0.1
64	10	0.048
64	11	0.077
64	12	0.083
64	13	0.045
64	14	0
64	15	0.4
64	16	0.391
64	17	0.393
64	18	0.462
64	19	0.267
64	20	0.4
64	21	0.333
64	22	0.1
64	23	0.167
64	24	0
64	25	0.333
64	26	0.2
64	27	0.2
64	28	0.333
64	29	0.2
64	30	0.5
64	31	0.25
64	32	0.308
64	33	0.567
64	34	0.333
64	35	0.458
65	0	0.271
65	1	0.087
65	2	0
65	3	0
65	4	0
65	5	0
65	6	0
65	7	0
65	8	0
65	9	0
65	10	0.105
65	11	0.053
65	12	0.05
65	13	0.05
65	14	0.2
65	15	0.2
65	16	0.302
65	17	0.314
65	18	0.429
65	19	0.4
65	20	0.375
65	21	0.5
65	22	0.4
65	23	0.5
65	24	0
65	25	0.5
65	26	0
65	27	0.2
65	28	0.5
65	29	0
65	30	0.2
65	31	0.25
65	32	0.2
65	33	0.286
65	34	0.667
65	35	0.286
66	0	0.333
66	1	0.143
66	2	0
66	3	0
66	4	0
66	5	0
66	6	0
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0.111
66	12	0.143
66	13	0.1
66	14	0.333
66	15	0
66	16	0.111
66	17	0.188
66	18	0.5
66	19	0.324
66	20	0.423
66	21	0.037
66	22	0.207
66	23	0.056
66	24	0.2
66	25	0.125
66	26	0
66	27	0.25
66	28	0.235
66	29	0.25
66	30	0.2
66	31	0.353
66	32	0.435
66	33	0.464
66	34	0.579
66	35	0.4
67	0	0.153
67	1	0.136
67	2	0
67	3	0
67	4	0
67	5	0
67	6	0
67	7	0.042
67	8	0
67	9	0
67	10	0
67	11	0
67	12	0
67	13	0
67	14	0
67	15	0
67	16	0
67	17	0.333
67	18	0.111
67	19	0.1
67	20	0.111
67	21	0.1
67	22	0.333
67	23	0.125
67	25	0
67	26	0
67	27	0
67	28	0
67	29	0.167
67	30	0.091
67	31	0.091
67	32	0.333
67	33	0.346
67	34	0.348
67	35	0.222
68	0	0.8
68	1	0.125
68	2	0
68	3	0
68	4	0
68	5	0
68	6	0
68	7	0
68	8	0
68	9	0
68	10	0
68	11	0
68	12	0
68	13	0
68	14	0
68	15	0.067
68	16	0.189
68	17	0.24
68	18	0.129
68	19	0.083
68	20	0.19
68	21	0.136
68	22	0.176
68	23	0.133
68	24	0
68	25	0.2
68	26	0
68	27	0.231
68	28	0.429
68	29	0.214
68	30	0.4
68	31	0.333
68	32	0.353
68	33	0.588
68	34	0.435
68	35	0.429
69	0	0.357
69	1	0
69	2	0.143
69	3	0
69	4	0
69	5	0
69	6	0.1
69	7	0.067
69	8	0
69	9	0.1
69	10	0.083
69	11	0.222
69	12	0.083
69	13	0.05
69	14	0
69	15	0
69	16	0.071
69	17	0.222
69	18	0.3
69	19	0.333
69	20	0.333
69	21	0.267
69	22	0.273
69	23	0.333
69	24	0.333
69	25	0.375
69	26	0.5
69	27	0.333
69	28	0.333
69	29	0.286
69	30	0.167
69	31	0.286
69	32	0.37
69	33	0.51
69	34	0.343
69	35	0.308
70	0	0.028
70	1	0
70	2	0
70	3	0
70	4	0
70	5	0
70	6	0
70	7	0.125
70	8	0
70	9	0
70	10	0
70	11	0
70	12	0
70	13	0
70	14	0
70	15	0
70	16	0
70	17	0.222
70	18	0.2
70	19	0.227
70	20	0.235
70	21	0.333
70	22	0.2
70	23	0
70	24	0
70	25	0.133
70	26	0
70	27	0
70	28	0.182
70	29	0.214
70	30	0.4
70	31	0.312
70	32	0.444
70	33	0.643
70	34	0.5
70	35	0.5
71	0	0.232
71	1	0.154
71	2	0
71	3	0
71	4	0
71	5	0
71	6	0
71	7	0
71	8	0
71	9	0
71	10	0
71	11	0
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0.059
71	17	0.365
71	18	0.542
71	19	0.367
71	20	0.3
71	21	0
71	31	0.333
71	32	0.048
71	33	0.188
71	34	0.118
71	35	0.077
72	0	0.129
72	1	0.154
72	2	0
72	3	0
72	4	0
72	5	0
72	6	0
72	7	0
72	8	0
72	9	0
72	10	0
72	11	0
72	12	0
72	13	0
72	14	0
72	15	0
72	16	0
72	17	0.087
72	18	0
72	21	0.304
72	22	0.261
72	23	0.417
72	24	0.2
72	25	0.25
72	26	0.143
72	27	0.375
72	28	0.417
72	29	0.286
72	30	0.312
72	31	0.235
72	32	0.444
72	33	0.404
72	34	0.387
72	35	0.444
72	36	0
73	0	0.071
73	1	0.259
73	2	0.263
73	3	0.111
73	4	0
73	5	0
73	6	0
73	7	0
73	8	0.05
73	9	0
73	10	0
73	11	0
73	12	0
73	13	0
73	14	0
73	15	0
73	16	0
73	17	0
73	18	0
73	19	0
73	20	0.143
73	21	0
73	22	0
73	23	0.111
73	24	0
73	25	0.125
73	26	0
73	27	0.143
73	28	0
73	29	0.3
73	30	0.6
73	31	0.077
73	32	0.308
73	33	0.143
73	34	0
73	35	0
73	36	0
73	37	0
74	0	0.333
74	1	0
74	2	0
74	3	0
74	4	0
74	5	0
74	6	0
74	7	0
74	8	0
74	9	0
74	10	0
74	11	0
74	12	0
74	13	0
74	14	0
74	15	0
74	16	0
74	17	0.062
74	18	0.222
74	19	0.278
74	20	0.321
74	21	0.55
74	22	0.514
74	23	0.5
74	24	0.438
74	25	0.188
74	26	0.333
74	27	0.118
74	28	0.25
74	29	0.2
74	30	0.2
74	31	0.286
74	32	0.227
74	33	0.333
74	34	0.514
74	35	0.636
74	36	0.417
74	37	0.786
75	0	0.268
75	1	0.083
75	2	0.1
75	3	0
75	4	0
75	5	0
75	6	0.143
75	7	0.192
75	8	0
75	9	0
75	10	0.045
75	11	0
75	12	0.056
75	13	0.038
75	14	0
75	15	0.077
75	16	0
75	17	0.278
75	18	0.381
75	19	0.333
75	20	0.333
75	21	0.423
75	22	0
75	23	0
75	24	0
75	25	0
75	26	0
75	28	0
75	29	0
75	31	0
75	32	0
75	33	0
75	34	0
75	35	0.6
75	36	0.5
75	37	1
76	0	0.279
76	1	0.292
76	2	0.154
76	3	0
76	4	0
76	5	0
76	6	0
76	7	0.133
76	8	0.043
76	9	0
76	21	0
76	22	0.167
76	23	0.429
76	24	0
76	25	0.231
76	26	0.222
76	27	0.278
76	28	0.385
76	29	0.292
76	30	0.545
76	31	0.381
76	32	0.64
76	33	0.791
76	34	0.633
76	35	0.69
76	36	0
76	37	0.667
77	9	0.053
77	10	0
