"time"	"distance"	"value"
36	0	0.251
36	1	0.077
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0.071
36	14	0.045
36	15	0
36	16	0
36	46	0.595
36	47	0.608
37	14	0
37	15	0.143
37	16	0
37	17	0
37	18	0.077
37	19	0.111
37	20	0.021
37	21	0
37	22	0.119
37	23	0.143
37	24	0.111
37	25	0.1
37	26	0.083
37	27	0.333
37	28	0.167
37	29	0.429
37	30	0.462
37	31	0.267
37	32	0.263
37	33	0.308
37	34	0.333
37	35	0.4
37	36	0
37	37	0.222
37	38	0.167
37	39	0.2
37	40	0.125
37	41	0.308
37	42	0.429
37	43	0.6
37	44	0.5
37	45	0.562
37	46	0.481
37	47	0.333
38	0	0.208
38	1	0.111
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0.1
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0.033
38	25	0.031
38	26	0.083
38	27	0.088
38	28	0.02
38	29	0.324
38	30	0.273
38	31	0
38	32	0
38	33	0.214
38	34	0
38	35	0
38	37	0
38	38	0
38	39	0
38	40	0
38	47	1
39	0	0.156
39	1	0.167
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	0.4
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0
39	25	0
39	26	0
39	27	0
39	28	0
39	29	0.417
39	30	0.25
39	31	0.216
39	32	0.367
39	33	0.323
39	34	0.269
39	35	0.188
39	36	0.2
39	37	0.348
39	38	0.286
39	39	0.353
39	40	0.4
39	41	0.278
39	42	0.462
39	43	0.421
39	44	0.25
39	45	0.353
39	46	0.564
39	47	0.577
40	0	0.042
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0.042
40	18	0.087
40	19	0
40	20	0.381
40	21	0.286
40	22	0.52
40	23	0.538
40	24	0.333
40	25	0.417
40	26	0.333
40	27	0.333
40	28	0.579
40	29	0.583
40	30	0.625
40	31	0.474
40	32	0.5
40	33	0.417
40	34	0.286
40	35	0.5
40	37	0.571
40	38	0.5
40	39	0.333
40	40	0.556
40	41	0.414
40	42	0.25
40	43	0.417
40	44	0.512
40	45	0.567
40	46	0.556
40	47	0.44
41	0	0.083
41	1	0
41	2	0
41	3	0.026
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0.107
41	15	0
41	16	0
41	17	0.034
41	18	0.019
41	19	0
41	20	0.048
41	21	0
41	22	0
41	23	0
41	24	0
41	25	0
41	26	0
41	27	0
41	28	0
41	29	0.25
41	30	0.182
41	31	0.3
41	32	0.3
41	33	0.125
41	34	0.167
41	35	0.125
41	36	0
41	37	0.25
41	38	0
41	39	0.286
41	40	0
41	41	0.5
41	42	0.286
41	43	0
