"time"	"distance"	"value"
36	0	0.364
36	1	0.455
36	2	0.444
36	3	0.455
36	4	0.333
36	5	0
36	6	0
36	7	0
36	8	0
36	10	0.615
36	11	0.308
36	12	0.6
36	13	0.471
36	14	0.3
36	15	0.375
36	16	0.25
36	17	0.222
36	18	0.4
36	19	0.375
36	20	0.6
36	21	0.571
36	22	0.467
36	23	0.875
36	24	0.6
36	25	0.154
36	26	0
36	27	0
36	28	0.167
36	29	0
36	30	0.25
36	31	0.133
36	32	0
36	33	0
36	34	0
36	35	0
36	36	0
36	37	0
36	38	0
36	39	0
36	40	0
36	41	0
36	42	0
36	43	0
36	44	0
36	45	0
36	46	0.1
36	47	0.182
36	48	0.143
36	49	0.167
36	57	0
37	0	0.593
37	1	0.714
37	2	0.5
37	3	0.222
37	4	0.3
37	5	0.333
37	6	0.5
37	7	0.556
37	8	0.2
37	9	0.538
37	10	0.406
37	11	0.321
37	12	0.5
37	13	0.442
37	14	0.414
37	15	0.375
37	16	0.5
37	17	0.091
37	18	0.333
37	19	0.222
37	20	0.25
37	21	0.2
37	22	0.346
37	23	0.625
37	24	0.513
37	25	0.229
37	26	0
37	28	0.25
37	29	1
37	30	0.667
37	31	1
37	32	0
37	33	0
37	34	0
37	35	0
37	36	0
37	37	0
37	38	0
37	39	0
37	40	0
37	41	0
37	42	0
37	43	0
37	44	0
37	46	0
37	47	0
37	48	0
37	49	0
37	50	0
37	51	0
37	52	0
37	53	0
37	54	0
37	55	0
37	56	0
37	57	0
38	0	0.635
38	1	0.594
38	2	0.381
38	3	0.211
38	4	0.286
38	5	0.462
38	6	0.125
38	7	0.25
38	8	0.125
38	9	0.5
38	10	0.607
38	11	0.435
38	12	0.44
38	13	0.333
38	14	0.389
38	15	0.533
38	16	0.5
38	17	0.143
38	24	0.312
38	25	0.125
38	26	0.154
38	27	0.167
38	28	0
38	29	0.2
38	30	0.438
38	31	0.208
38	32	0
38	33	0
38	34	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
38	40	0
38	41	0
38	42	0
38	43	0
38	44	0
38	45	0
38	46	0.4
38	47	0.333
38	48	0
38	49	0.5
38	50	0.25
38	51	0
38	52	0
38	53	0
38	54	0
38	55	0
38	56	0
38	57	0.056
39	17	0
39	18	0.333
39	19	0.25
39	20	0.286
39	21	0.375
39	22	0.375
39	23	0.9
39	24	0.667
39	25	0.207
39	26	0.1
39	27	0
39	28	0.25
39	29	0.667
39	30	0.4
39	31	0.308
39	32	0.062
39	33	0.105
39	34	0.067
39	35	0
39	36	0
39	37	0.273
39	38	0.182
39	39	0.125
39	40	0.083
39	41	0
39	42	0.167
39	43	0.125
39	44	0.095
39	45	0.111
39	46	0.062
39	47	0.121
39	48	0.16
39	49	0.062
39	50	0.088
39	51	0
39	52	0
39	53	0
39	54	0
39	55	0
39	56	0
39	57	0.333
40	0	0.548
40	1	0.763
40	2	0.556
40	3	0.429
40	4	0.462
40	5	0.167
40	6	0.375
40	7	0.222
40	8	0.167
40	9	0.167
40	10	0.643
40	11	0.6
40	12	0.571
40	13	0.615
40	14	0.538
40	15	0.526
40	16	0.667
40	17	0.25
40	18	0.333
40	19	0.2
40	20	0
40	21	0.222
40	22	0.4
40	23	0.7
40	24	0.514
40	25	0.235
40	26	0.059
40	27	0.5
40	28	0
40	29	0
40	30	0.15
40	31	0.111
40	32	0.077
40	33	0.133
40	34	0
40	35	0
40	36	0.143
40	37	0.182
40	38	0.111
40	39	0
40	40	0.5
40	41	0
40	42	0.2
40	43	0.5
40	44	0
40	45	0
40	46	0
40	47	0
40	48	0
40	49	0
40	50	0
40	51	0.25
40	52	0.133
40	53	0.143
40	54	0.154
40	55	0.136
40	56	0.364
40	57	0.013
41	0	0.448
41	1	0.444
41	2	0.265
41	3	0.233
41	4	0.227
41	5	0.286
41	6	0.462
41	7	0.3
41	8	0.385
41	9	0.467
41	10	0.407
41	11	0.6
41	12	0.579
41	13	0.484
41	14	0.368
41	15	0.583
41	16	0.667
41	17	0.25
41	18	0.5
41	19	0
41	20	0.429
41	21	0
41	22	0.6
41	23	0.727
41	24	0.696
41	25	0.333
41	26	0
41	27	0
41	28	0
41	29	0
41	30	0.182
41	31	0.182
41	32	0
41	33	0
41	34	0
41	35	0
41	36	0
41	37	0
41	38	0
41	39	0
41	40	0
41	41	0
41	42	0
41	43	0
41	44	0
41	45	0
41	46	0
41	47	0.067
41	48	0
41	49	0
41	50	0.062
41	51	0.111
41	52	0.091
41	53	0.083
41	54	0
41	55	0.077
41	56	0
41	57	0.176
42	0	0.7
42	1	0.833
42	2	0.571
42	3	0.667
42	4	0.636
42	5	0.286
42	6	0.357
42	7	0.188
42	8	0
42	9	0.182
42	10	0.524
42	11	0.227
42	12	0.333
42	13	0.4
42	14	0.3
42	15	0.188
42	16	0
42	17	0.077
42	18	0.273
42	19	0.333
42	20	0.25
42	21	0.3
42	22	0.629
42	23	0.688
42	24	0.704
42	25	0.32
42	26	0.231
42	27	0.375
42	28	0
42	29	0.273
42	30	0.576
42	31	0.192
42	32	0
42	33	0
42	34	0
42	35	0
42	36	0.111
42	37	0.2
42	38	0.105
42	39	0.118
42	40	0
42	41	0.2
42	42	0
42	43	0
42	44	0
42	45	0
42	46	0.25
42	47	0.071
42	48	0.3
42	49	0.167
42	50	0.222
42	51	0
42	52	0.111
42	53	0.182
42	54	0.143
42	55	0
42	56	0.25
42	57	0.047
43	0	0.581
43	1	0.636
43	2	0.364
43	3	0.3
43	4	0.4
43	5	0.333
43	6	0
43	7	0.556
43	8	0.667
43	9	0.7
43	10	0.688
43	11	0.438
43	12	0.692
43	13	0.611
43	14	0.538
43	15	0.5
