"time"	"distance"	"value"
36	0	0.367
36	1	0.709
36	2	0.441
36	3	0.087
36	4	0.167
36	5	0.071
36	6	0.407
36	7	0.235
36	8	0.238
36	9	0.417
36	10	0.292
36	11	0.333
36	12	0.353
36	13	0.385
36	14	0.4
36	15	0.389
36	16	0.579
36	17	0.357
36	18	0.222
36	19	0.25
36	20	0.231
36	21	0
36	22	0.25
36	23	0.259
36	24	0.154
36	25	0
36	26	0
36	27	0
36	28	0
36	29	0
36	30	0
36	32	0
36	33	0
36	34	0
36	35	0
36	36	0
36	37	0
36	38	0
36	39	0.048
36	40	0.053
36	41	0.2
36	42	0.071
36	43	0
36	44	0.46
37	0	0.231
37	1	0.464
37	2	0.364
37	3	0.1
37	4	0.1
37	5	0.125
37	6	0
37	7	0.125
37	8	0.286
37	9	0.167
37	10	0.296
37	11	0.258
37	12	0.341
37	13	0.346
37	14	0.364
37	15	0.481
37	16	0.462
37	17	0.056
37	18	0
37	19	0
37	20	0
37	21	0
37	22	0
37	23	0
37	24	0
37	25	0.05
37	26	0
37	27	0.03
37	28	0.06
37	29	0
37	30	0
37	31	0
37	32	0.053
37	33	0.083
37	34	0
37	35	0
37	36	0
37	37	0
37	38	0
37	39	0
37	40	0
37	41	0
37	42	0
37	43	0
37	44	0.355
38	0	0.4
38	1	0.692
38	2	0.52
38	3	0.176
38	4	0.2
38	5	0
38	6	0.308
38	7	0.429
38	8	0.444
38	9	0.4
38	10	0.2
38	11	0.4
38	12	0.467
38	13	0.625
38	14	0.875
38	15	0.417
38	16	0.5
38	17	0.333
38	18	0.267
38	19	0.333
38	20	0.188
38	21	0.2
38	22	0.5
38	23	0.429
38	24	0.333
38	25	0.231
38	26	0.15
38	27	0.062
38	28	0.03
38	29	0
38	30	0
38	31	0.071
38	32	0.067
38	33	0
38	34	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
38	40	0
38	41	0
38	42	0
38	43	0.077
38	44	0.316
39	0	0.341
39	1	0.641
39	2	0.407
39	3	0.25
39	4	0.235
39	5	0.25
39	6	0.357
39	7	0.25
39	8	0.35
39	9	0.333
39	10	0.214
39	11	0.406
39	12	0.367
39	13	0.463
39	14	0.413
39	15	0.5
39	16	0.514
39	17	0.341
39	18	0.345
39	19	0.357
39	20	0.12
39	21	0.091
39	22	0.083
39	23	0.297
39	24	0.385
39	25	0.125
39	26	0.095
39	27	0
39	28	0.115
39	29	0.087
39	30	0.154
39	31	0.1
39	32	0.045
39	33	0
39	34	0
39	35	0
39	36	0.1
39	37	0.04
39	38	0.062
39	39	0
39	40	0
39	41	0
39	42	0
39	43	0.25
39	44	0.192
40	0	0.489
40	1	0.725
40	2	0.545
40	3	0.385
40	4	0.389
40	5	0.25
40	6	0.409
40	7	0.357
40	8	0.5
40	9	0.667
40	10	0.333
40	11	0.609
40	12	0.647
40	13	0.707
40	14	0.714
40	15	0.6
40	16	0.667
40	17	0.5
40	18	0.3
40	19	0.286
40	20	0.111
40	21	0.261
40	22	0.346
40	23	0.524
40	24	0.263
40	25	0.292
40	26	0.156
40	27	0.233
40	28	0.217
40	29	0.033
40	30	0.056
40	31	0.154
40	32	0.259
40	33	0.05
40	34	0
40	35	0
40	36	0.067
40	37	0.033
40	38	0.05
40	39	0
40	40	0.034
40	41	0.083
