"time"	"distance"	"value"
36	0	0.208
36	1	0.233
36	2	0.071
36	3	0.1
36	4	0.083
36	5	0.125
36	6	0.071
36	7	0
36	8	0
36	9	0
36	10	0.111
36	11	0.105
36	12	0.333
36	13	0.241
36	14	0.167
36	15	0.111
36	16	0
36	17	0
36	18	0
36	19	0
36	20	0
36	21	0
36	22	0
36	23	0
36	42	0.494
37	0	0.421
37	1	0.474
37	2	0.4
37	3	0.286
37	4	0.143
37	5	0.5
37	6	0.333
37	7	0.333
37	8	0.125
37	9	0.25
37	10	0
37	11	0.273
37	12	0.467
37	13	0.4
37	14	0.333
37	15	0.455
37	16	0.385
37	17	0.375
37	18	0.429
37	23	0
37	24	0
37	25	0
37	26	0.125
37	27	0.091
37	28	0
37	29	0
37	30	0
37	31	0
37	32	0
37	33	0
37	34	0
37	35	0
37	36	0
37	37	0
37	38	0
37	39	0.167
37	40	0.25
37	41	0.167
37	42	0.184
38	0	0.3
38	1	0.312
38	2	0.2
38	3	0.25
38	4	0.333
38	5	0.2
38	6	0.231
38	7	0.2
38	8	0.25
38	9	0.2
38	10	0.2
38	11	0.214
38	12	0.312
38	13	0.286
38	14	0.4
38	15	0.357
38	16	0.176
38	17	0
38	18	0
38	19	0.091
38	20	0
38	21	0.154
38	22	0.067
38	23	0.111
38	24	0.034
38	25	0
38	26	0
38	27	0.125
38	28	0
38	29	0
38	30	0
38	31	0
38	32	0
38	33	0.083
38	34	0
38	35	0
38	36	0
38	37	0.091
38	38	0.333
38	39	0.286
38	40	0.2
38	41	0
38	42	0.091
39	0	0.227
39	1	0.2
39	2	0.1
39	3	0.083
39	4	0.143
39	5	0.143
39	6	0
39	7	0.143
39	8	0.333
39	9	0.111
39	10	0.333
39	11	0.083
39	12	0.294
39	13	0.531
39	14	0.333
39	15	0.333
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0
39	25	0
39	26	0
39	27	0
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0
39	35	0
39	36	0
39	37	0
39	38	0.115
39	39	0.667
39	40	0
39	41	0.4
39	42	0.118
40	0	0.378
40	1	0.455
40	2	0.421
40	3	0.278
40	4	0.308
40	5	0.3
40	6	0.238
40	7	0.417
40	8	0.357
40	9	0.444
40	10	0.5
40	11	0.524
40	12	0.559
40	13	0.727
40	14	0.593
40	15	0.577
40	16	0.35
40	17	0.333
40	18	0.211
40	19	0.2
40	20	0.188
40	21	0.182
40	22	0.091
40	23	0.167
40	24	0
40	25	0
40	26	0
40	27	0.1
40	28	0
40	29	0
40	30	0
40	31	0
40	32	0
40	33	0.167
40	34	0
40	35	0
40	36	0
40	37	0.083
40	38	0.208
40	39	0.1
40	40	0
40	41	0
40	42	1
41	0	0.4
41	1	0.394
41	2	0.308
41	3	0.4
41	4	0.111
41	5	0.143
41	6	0.231
41	7	0.111
41	8	0.2
41	9	0.2
41	10	0.333
41	11	0.27
41	12	0.588
41	13	0.417
41	14	0.471
41	15	0.5
41	16	0.25
41	17	0.167
41	18	0.091
41	19	0
41	20	0.167
41	21	0
41	22	0.111
41	23	0.167
41	24	0
